Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
DRX131730	DRR139003	2018-09-25 19:19:17	2018-10-26 14:29:35	17265981	5179794300	17265981	300	1924		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/139/DRR139003/DRR139003.sralite.1	wild type	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	50	ILLUMINA	Illumina HiSeq 4000	DRP004477	PRJDB7101	2	493212	DRS075645	SAMD00127371	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00127371							no					TUAGRI	DRA006972		public	83E9174F2943D59C1BC893D59B4303DA	BDCB7C32E0C58B535D7A6E4C714E0DB8		
DRX131731	DRR139004	2018-09-25 19:19:17	2018-10-26 14:23:35	15848335	4754500500	15848335	300	1774		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/139/DRR139004/DRR139004.sralite.1	YlxR mutant	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	50	ILLUMINA	Illumina HiSeq 4000	DRP004477	PRJDB7101	2	493212	DRS075646	SAMD00127372	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00127372							no					TUAGRI	DRA006972		public	4C9A0CE5BCCC4EC159CC626680F625B1	5AE9E61C4A8D547F04637112B0265C24		
DRX181663	DRR191208	2021-09-12 12:26:59	2021-09-12 12:24:11	6491544	1298308800	6491544	200	814		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191208/DRR191208.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204036	SAMD00185760	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185760							no					TUAGRI	DRA008962		public	327ADAFBA62F33843EBDE21C68513B4B	23CE2801384E533DAAFA87451F792883		
DRX181664	DRR191209	2021-09-12 12:26:59	2021-09-12 12:24:35	5355866	1071173200	5355866	200	692		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191209/DRR191209.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204037	SAMD00185761	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185761							no					TUAGRI	DRA008962		public	297BF79E806A0592FC4E18BE3AAE9A03	BEAA507B343F47BD7207F5E56D763AF7		
DRX181665	DRR191210	2021-09-12 12:26:59	2021-09-12 12:23:43	4675678	715797826	4675678	153	313		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191210/DRR191210.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204038	SAMD00185762	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185762							no					TUAGRI	DRA008962		public	4C1D48A313CB2848DFC427346AE345F6	86173F74ABF03395B85D4936E2F83488		
DRX181666	DRR191211	2021-09-12 12:26:59	2021-09-12 12:23:51	5827393	1165478600	5827393	200	719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191211/DRR191211.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204039	SAMD00185763	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185763							no					TUAGRI	DRA008962		public	B9F4FF9DA8B37170704D64F66562525F	2B581C6732D00F562857AF541022AC36		
DRX181667	DRR191212	2021-09-12 12:26:59	2021-09-12 12:24:51	6763768	1352753600	6763768	200	934		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191212/DRR191212.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204040	SAMD00185764	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185764							no					TUAGRI	DRA008962		public	E217361F9266D1E275C1E301AA159E06	71858CAD2CEA40C9BB61EEB027B0DAA1		
DRX181668	DRR191213	2021-09-12 12:26:59	2021-09-12 12:23:47	4892167	978433400	4892167	200	596		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191213/DRR191213.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204041	SAMD00185765	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185765							no					TUAGRI	DRA008962		public	F00A3FCD84EF2F7FC640025C01EFA94F	37E0AEC03DC1F859DA88209B3D13A91B		
DRX181669	DRR191214	2021-09-12 12:26:59	2021-09-12 12:23:50	5723920	1144784000	5723920	200	698		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191214/DRR191214.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204042	SAMD00185766	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185766							no					TUAGRI	DRA008962		public	1578341B2CA387DEF3E105CA5F48BAF3	29EBB1B8FC5CB7D73B0999B2BC22585C		
DRX181670	DRR191215	2021-09-12 12:26:59	2021-09-12 12:24:09	3960533	792106600	3960533	200	482		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/DRR000/191/DRR191215/DRR191215.lite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina MiSeq	DRP007691	PRJDB8780		762734	DRS204043	SAMD00185767	simple	224308	Bacillus subtilis subsp. subtilis str. 168	SAMD00185767							no					TUAGRI	DRA008962		public	3A412523E23CF398A9A3C90758E1D652	C16A3EC666B4A247E4C596BB29AAB47E		
