Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX080704	SRR308187	2012-02-14 13:14:48	2014-05-30 22:26:03	26949795	1347489750	0	50	1128		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308187/SRR308187.3	Low CO2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	0A748A956F5C20B10D2E72CFE91D286E	23DF3F487FD796A5E759AC9D5CA0A85E		
SRX080705	SRR308188	2012-02-14 13:14:48	2014-05-30 22:14:31	26430653	1321532650	0	50	1105		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308188/SRR308188.3	N-limited	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	703B15E207A5205A90BCCD1AEC221307	07A4ADFD114E7ECFDBC8B605DA8BC19A		
SRX080707	SRR308189	2012-02-14 13:14:48	2014-05-30 22:17:00	33515621	1675781050	0	50	1404		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308189/SRR308189.3	S-limited	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	1263464BFC77B278630CDE17D5F51124	E71DF8C13D1F9F090504501B55D53521		
SRX080708	SRR308190	2012-02-14 13:14:48	2014-05-30 22:16:18	22883466	1144173300	0	50	952		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308190/SRR308190.3	P-limited	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	6ED6261361AFA0C41B5CC99020832FE3	8AF69E498B9943AEDC76168CD44514C5		
SRX080709	SRR308191	2012-02-14 13:14:48	2014-05-30 22:17:39	23199829	1159991450	0	50	968		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308191/SRR308191.3	Fe-limited	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	DF2EF720185F80D421DDE06159023217	07F5092A8EE9B2FF7ED2C047CFFB61D0		
SRX080710	SRR308192	2012-02-14 13:14:48	2014-05-30 22:16:58	30047553	1502377650	0	50	1262		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308192/SRR308192.3	Nitrate	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	3824D835DC6AC36591FC1BA4A1B138FC	1A7D13BD2F63283E24DDCCCB44ADB005		
SRX080711	SRR308193	2012-02-14 13:14:48	2014-05-30 22:16:34	23433262	1171663100	0	50	984		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308193/SRR308193.3	Ammonia	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	11501D12A7141442D32CE42AD189B51A	DF166B2DD69D71AF3F31915D78B5C5D5		
SRX080712	SRR308194	2012-02-14 13:14:48	2014-05-30 22:17:16	30729130	1536456500	0	50	1293		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/308/SRR308194/SRR308194.3	Urea	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP007372		2	0	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA039430		public	EB0C3DFC180D57A23EE1D636D76B0895	E5ECDE25AB1737D044E51E735FD8DD0F		
SRX156368	SRR1057994	2013-12-24 13:30:07	2013-12-24 13:27:50	29868989	1493449450	0	50	1253		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR001/1057/SRR1057994/SRR1057994.1	22C	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP013965	PRJNA169550	2	169550	SRS347102	SAMN01057781	simple	32049	Synechococcus sp. PCC 7002	Synechococcus sp. PCC 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA055068		public	0D0B15CD918F5F012294F615A793DC02	B8844759AB45793B6FF8B47F3886C2A8		
SRX156370	SRR1057995	2013-12-24 13:30:07	2013-12-24 13:27:32	25094301	1254715050	0	50	1052		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR001/1057/SRR1057995/SRR1057995.1	30C	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP013965	PRJNA169550	2	169550	SRS347102	SAMN01057781	simple	32049	Synechococcus sp. PCC 7002	Synechococcus sp. PCC 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA055068		public	83E8DFA28072386BD88A412630B33251	611219A40AA55F7E89241FC7B5E46B97		
