Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
DRX114943	DRR122086	2019-03-31 16:43:25	2019-06-14 07:10:34	10555361	2111072200	10555361	200	1326		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/122/DRR122086.sralite.1	7002_1-0h	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092189	SAMD00109402	simple	32049	Synechococcus sp. PCC 7002	SAMD00109402							no					TUAGRI	DRA006498		public	81E29CAC3061F769C0F321948299F6CF	63D406BCE8CF6797FFBD573CE11F0DBF		
DRX114944	DRR122087	2019-03-31 16:43:25	2019-06-14 07:10:34	10993297	2198659400	10993297	200	1376		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/122/DRR122087.sralite.1	7002_2-0h	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092190	SAMD00109403	simple	32049	Synechococcus sp. PCC 7002	SAMD00109403							no					TUAGRI	DRA006498		public	2BEC19F147233EA684415C6A95BE3F08	9991A24DA29F3FD1A436E880BFBFD5E7		
DRX114945	DRR122088	2019-03-31 16:43:25	2019-06-14 07:12:27	11250049	2250009800	11250049	200	1422		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/122/DRR122088.sralite.1	7002_1-3h	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092191	SAMD00109404	simple	32049	Synechococcus sp. PCC 7002	SAMD00109404							no					TUAGRI	DRA006498		public	73F12397D83EB44EA4609BAFD6897E01	7D8264DA7A2BF75228399051DD83C114		
DRX114946	DRR122089	2019-03-31 16:43:25	2019-06-14 07:12:08	11706978	2341395600	11706978	200	1465		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/122/DRR122089.sralite.1	7002_2-3h	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092192	SAMD00109405	simple	32049	Synechococcus sp. PCC 7002	SAMD00109405							no					TUAGRI	DRA006498		public	AEA6FBD0F17611DF8A7392556970764A	1FB907A93BDA70A8CD637C72A651C724		
DRX114947	DRR122090	2019-03-31 16:43:25	2019-06-14 07:07:39	7592488	1518497600	7592488	200	955		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/122/DRR122090.sralite.1	7002-0h	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092193	SAMD00109406	simple	32049	Synechococcus sp. PCC 7002	SAMD00109406							no					TUAGRI	DRA006498		public	FE7EF81BD8CEC1CC9E22AFE16351E1C9	330801E1832E5F4BD0C4391C81213B4F		
DRX114948	DRR122091	2019-03-31 16:43:25	2019-06-14 07:10:54	10809706	2161941200	10809706	200	1359		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/122/DRR122091.sralite.1	7002-3h	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092194	SAMD00109407	simple	32049	Synechococcus sp. PCC 7002	SAMD00109407							no					TUAGRI	DRA006498		public	D87A82C1A1764016D9051D896ACCFEC2	E3DEEC48331B1661738057E5C0A4C594		
DRX114949	DRR122092	2019-03-31 16:43:25	2019-06-14 07:08:56	9585103	1917020600	9585103	200	1204		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/122/DRR122092.sralite.1	nrrA-0	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092195	SAMD00109408	simple	32049	Synechococcus sp. PCC 7002	SAMD00109408							no					TUAGRI	DRA006498		public	F496C62BD3ED998451A63FEF0F02B110	0E96100B215F4DFDB332F1EFDAD9E4D4		
DRX114950	DRR122093	2019-03-31 16:43:25	2019-06-14 07:07:47	8731556	1746311200	8731556	200	1101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/DRR000/122/DRR122093.sralite.1	nrrA-3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	100	ILLUMINA	Illumina HiSeq 2500	DRP004943	PRJDB6648	2	530157	DRS092196	SAMD00109409	simple	32049	Synechococcus sp. PCC 7002	SAMD00109409							no					TUAGRI	DRA006498		public	46B677F8D5433EF8E146852984078BFD	504731FC82C47D1E57FC48FC488ECE30		
SRX030112	SRR097642	2011-02-07 18:45:41	2014-05-29 21:17:32	15512068	775603400	0	50	648		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/097/SRR097642/SRR097642.2	dark_oxic	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP066851	PRJNA294837	2	294837	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA025947		public	DCC7A1A2146DF4207290ADD892EECA44	B8A7B8661DB75F6FB6E42A0947978A2F		
SRX030114	SRR097643	2011-02-07 18:45:41	2014-05-29 21:21:09	34204786	1710239300	0	50	1431		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/097/SRR097643/SRR097643.2	dark_anoxic	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP066851	PRJNA294837	2	294837	SRS118739	SAMN00117206	simple	32049	Synechococcus sp. PCC 7002	Synechococcus 7002							no					PENNSYLVANIA STATE UNIVERSITY	SRA025947		public	46B633ACBCD1C37D502669B6726C58BE	B63A8B63B07F172364682DF340A2AF50		
