Geneid,DRX114943,DRX114944,DRX114945,DRX114946,DRX114947,DRX114948,DRX114949,DRX114950
SYNPCC7002_RS15225,5.593579714567705,5.182614662373938,5.963921657204748,6.30945399265158,5.773855549846995,6.195539722798247,6.057127157697423,6.575790796145679
SYNPCC7002_RS15230,4.9223866673335674,4.886634043452453,5.648381899473441,5.686358807744108,5.336643365384704,5.961695904487117,5.4687714911774465,6.213403936740451
SYNPCC7002_RS15235,6.020785229012706,5.503792502455617,6.262435036164676,6.372428722074434,5.980931918138385,6.2549361277678415,6.13389113464486,6.633913807247218
SYNPCC7002_RS15240,5.045428612039223,4.172993451143873,4.674922273938927,5.251847037057732,4.921429111024581,5.269361191085007,5.111161746654238,5.146897042614005
SYNPCC7002_RS15245,3.400139868249062,2.430167635251958,3.048072021789997,3.6319356575696333,2.840458023502233,3.2243091227715146,2.8748379311079617,3.019164486698428
SYNPCC7002_RS15250,3.7365343507765036,3.531605130820937,3.3704534090550777,3.7695851193147467,3.5912610783883316,3.9639703154357537,3.560497335229951,3.081960173870276
SYNPCC7002_RS15255,5.270938389569218,3.5589267995948695,3.65253860085304,3.7211734089505084,4.886625403906983,4.075741287555478,4.049492800230226,3.500622118470544
SYNPCC7002_RS15260,2.8315618119000283,2.528973683827065,3.039486869074103,3.6334562901602414,2.902313335589302,3.166735479153358,3.301727265549154,2.773233453886554
SYNPCC7002_RS15265,4.864230594892486,4.247579779399695,5.911201903231914,6.195194012014687,4.957031502638957,5.6529838118693725,5.792011754873337,6.183658798409913
SYNPCC7002_RS15270,5.202160985990368,4.5594864349740885,5.73024253391046,5.4860712545311054,5.1839420315891465,5.671296307205971,5.666414416109047,6.067782397211044
SYNPCC7002_RS15275,3.741236804904673,3.1722104922501715,3.972506845335053,4.1637689909323425,3.9590893988830524,4.292564753409847,6.119403683946665,4.078306400366959
SYNPCC7002_RS15280,5.10071966207672,4.083474263617908,5.933998261943655,5.3944503380920334,5.131560957536884,6.176006494403554,5.1197573457788685,5.880573417147758
SYNPCC7002_RS15285,4.08958409026659,3.688143655403606,5.026916304269543,5.1631030222223435,3.906183969304885,5.2268040178745485,4.460698707690084,5.1006725365506895
SYNPCC7002_RS15290,1.9577298560771665,1.6508293287984683,2.266506384104359,2.7591762016355412,2.14074671108952,2.571967206096417,2.1027550719939088,2.455500209316823
SYNPCC7002_RS15295,2.2787016035780425,1.4563256247641068,2.11765885235449,2.5634512644672887,1.8689051267717316,2.5320030027906872,2.132616987755354,2.486209226678005
