Geneid,SRX030112,SRX030114,SRX030115,SRX030116,SRX030117,SRX030118,SRX030119,SRX030120,SRX040435
SYNPCC7002_RS15225,6.701013099954025,5.023704007038237,0.0,6.244591172874057,0.0,3.0313492131495665,0.0,0.0,0.0
SYNPCC7002_RS15230,0.0,4.673749896932819,7.783980823087193,6.724571509405348,6.931456230990665,5.678921939350554,7.00213891502167,8.315998489037991,6.881157324714597
SYNPCC7002_RS15235,0.0,4.095375591863538,0.0,5.549360332244653,0.0,6.214364583133561,6.400339465594236,0.0,0.0
SYNPCC7002_RS15240,0.0,4.213855921005354,0.0,6.397926582673094,0.0,3.168507954769095,0.0,0.0,7.395309825109923
SYNPCC7002_RS15245,6.359465777504955,5.662141996749124,0.0,7.153350375314603,5.960226390635515,2.7330013665285477,6.030361682104749,6.34658034990217,6.89828960847281
SYNPCC7002_RS15250,8.850672583795332,10.032125541636209,7.383123818473246,7.111916737887891,6.532295044403965,7.681572403744878,7.44418078995105,7.181507117637957,6.742473072493248
SYNPCC7002_RS15255,0.0,4.808684301890971,0.0,3.255706987980125,5.506884887510344,4.426406507604224,0.0,0.0,0.0
SYNPCC7002_RS15260,6.460286621791801,5.100005789646213,6.908776053708212,6.074129581058117,4.124091155983838,7.281584169070658,5.1513165566849075,8.342106572802143,6.999484590511427
SYNPCC7002_RS15265,0.0,6.045521717439777,9.18732122525034,0.0,0.0,5.912140464743392,0.0,0.0,0.0
SYNPCC7002_RS15270,0.0,0.0,0.0,6.139657225014425,6.195588470300746,0.0,0.0,6.582775052044817,0.0
SYNPCC7002_RS15275,5.170001606017732,5.266277208486814,6.5972506402448685,5.954213249657607,0.0,3.0552891350441658,4.84672263280406,0.0,6.687781338556928
SYNPCC7002_RS15280,5.406941489124737,6.267916616043407,7.15751059247458,6.772146343304169,6.788078401424372,5.03276945688422,4.124067539832378,5.96768725447537,6.517682365456316
SYNPCC7002_RS15285,6.686507812515723,4.05361657178088,7.135639743902834,4.936753724272534,6.286117761636506,3.9266175936117187,0.0,0.0,0.0
SYNPCC7002_RS15290,0.0,5.837462223748576,6.665692916095263,5.7636618545697615,0.0,4.423402073300079,7.45802360343281,0.0,0.0
SYNPCC7002_RS15295,5.47051333387667,5.349958964979218,7.4835601886687915,6.134153135883105,0.0,2.0065214242192897,5.145286375476532,0.0,0.0
