Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX080704	18158542.0	64793.0	0.36	18093749.0	99.64
SRX080705	17387443.0	51813.0	0.3	17335630.0	99.7
SRX080707	24689706.0	130752.0	0.53	24558954.0	99.47
SRX080708	17877845.0	115683.0	0.65	17762162.0	99.35
SRX080709	16400039.0	226083.0	1.38	16173956.0	98.62
SRX080710	19129963.0	75355.0	0.39	19054608.0	99.61
SRX080711	14894601.0	61203.0	0.41	14833398.0	99.59
SRX080712	18991719.0	62269.0	0.33	18929450.0	99.67
SRX156368	18475134.0	86432.0	0.47	18388702.0	99.53
SRX156370	15881567.0	353221.0	2.22	15528346.0	97.78
SRX156371	43367954.0	199566.0	0.46	43168388.0	99.54
SRX156372	14826787.0	85920.0	0.58	14740867.0	99.42
SRX156375	29592600.0	234341.0	0.79	29358259.0	99.21
SRX156377	13032135.0	202423.0	1.55	12829712.0	98.45
SRX156378	9430252.0	40697.0	0.43	9389555.0	99.57
SRX156379	12019224.0	38212.0	0.32	11981012.0	99.68
