Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX080704	2.6	26949795	8599456	26949795	1347489750	499800159	836281570	37.937815853515765
SRX080705	2.6	26430653	8022503	26430653	1321532650	501352058	809853391	38.71862409150466
SRX080707	2.6	33515621	11547292	33515621	1675781050	480108797	1179075907	29.64021719901893
SRX080708	2.6	22883466	7530290	22883466	1144173300	291236465	842856903	26.334856529163897
SRX080709	2.6	23199829	4872782	23199829	1159991450	389190806	764229623	34.11765034992284
SRX080710	2.6	30047553	7730689	30047553	1502377650	606385983	885638088	41.05090101679828
SRX080711	2.6	23433262	6261052	23433262	1171663100	464441941	698917503	40.34825343565057
SRX080712	2.6	30729130	7922501	30729130	1536456500	655045034	870688539	43.331390182540154
SRX156368	2.6	29868989	8633505	29868989	1493449450	617566367	863569601	42.17617469409494
SRX156370	2.6	25094301	5575647	25094301	1254715050	512423032	734931442	41.426426502176724
SRX156371	2.6	62057471	19472298	62057471	3102873550	988103664	2087875532	32.71154952479453
SRX156372	2.6	22194244	7608031	22194244	1109712200	439225983	660127537	40.51362713683782
SRX156375	2.6	36040113	12741358	36040113	1802005650	456804768	1326543449	26.385167049836944
SRX156377	2.6	16026758	4270128	16026758	801337900	211557357	584026862	27.11852740273485
SRX156378	2.6	11490540	3619084	11490540	574527000	126006563	443594304	22.789650616942282
SRX156379	2.6	17378142	6688534	17378142	868907100	292293167	564815831	34.99698287653536
