Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX080704	18158542	54142	28	18093749	0	0	0	0	0	0	0	0	0	10296	202	125	0.29816270491320285
SRX080705	17387443	38889	9	17335630	0	0	0	0	0	0	0	0	0	12749	142	24	0.22366140898348305
SRX080707	24689706	73965	20	24558954	0	0	0	0	0	0	0	0	0	56556	199	12	0.2995782938849089
SRX080708	17877845	110147	13	17762162	0	0	0	0	0	0	0	0	0	5188	286	49	0.6161089325922672
SRX080709	16400039	181696	9613	16173956	0	0	0	0	0	0	0	0	0	33803	686	285	1.1078998043846116
SRX080710	19129963	29743	3	19054608	0	0	0	0	0	0	0	0	0	45552	50	7	0.15547860704173866
SRX080711	14894601	48058	12	14833398	0	0	0	0	0	0	0	0	0	12995	86	52	0.3226538260407244
SRX080712	18991719	30706	13	18929450	0	0	0	0	0	0	0	0	0	31438	103	9	0.16168099370046493
SRX156368	18475134	50831	6	18388702	0	0	0	0	0	0	0	0	0	35478	81	36	0.27513196927286154
SRX156370	15881567	305703	18218	15528346	0	0	0	0	0	0	0	0	0	27234	1382	684	1.9248919202998043
SRX156371	43367954	126195	16	43168388	0	0	0	0	0	0	0	0	0	73200	135	20	0.29098675026264786
SRX156372	14826787	41681	3	14740867	0	0	0	0	0	0	0	0	0	44161	63	12	0.2811195709495254
SRX156375	29592600	184855	17	29358259	0	0	0	0	0	0	0	0	0	49277	163	29	0.6246663017105628
SRX156377	13032135	68493	35	12829712	0	0	0	0	0	0	0	0	0	133649	239	7	0.5255700620044221
SRX156378	9430252	22772	6	9389555	0	0	0	0	0	0	0	0	0	17858	51	10	0.2414781704667065
SRX156379	12019224	20800	7	11981012	0	0	0	0	0	0	0	0	0	17348	53	4	0.1730560974651941
