Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX080704	0.29816270491320285	54142	0.36	64793.0	37.937815853515765	55.18819928800154	51.0	43.93521996424603	50.0	18158542.0
SRX080705	0.22366140898348305	38889	0.3	51813.0	38.71862409150466	62.29428706546745	51.0	44.88299958769095	40.0	17387443.0
SRX080707	0.2995782938849089	73965	0.53	130752.0	29.64021719901893	49.69256692833177	52.0	46.00982178564621	30.0	24689706.0
SRX080708	0.6161089325922672	110147	0.65	115683.0	26.334856529163897	54.99655334005826	51.0	45.57530675537236	40.0	17877845.0
SRX080709	1.1078998043846116	181696	1.38	226083.0	34.11765034992284	64.91966742686466	53.0	45.316566808164296	50.0	16400039.0
SRX080710	0.15547860704173866	29743	0.39	75355.0	41.05090101679828	51.38109103430502	51.0	44.32363193802309	60.0	19129963.0
SRX080711	0.3226538260407244	48058	0.41	61203.0	40.34825343565057	52.04543145656615	51.0	44.6892489432916	50.0	14894601.0
SRX080712	0.16168099370046493	30706	0.33	62269.0	43.331390182540154	52.098687264065745	51.0	43.77542096110415	50.0	18991719.0
SRX156368	0.27513196927286154	50831	0.47	86432.0	42.17617469409494	61.050783740403226	51.0	44.73855978527679	50.0	18475134.0
SRX156370	1.9248919202998043	305703	2.22	353221.0	41.426426502176724	60.02861679500064	51.0	44.49197399727621	40.0	15881567.0
SRX156371	0.29098675026264786	126195	0.46	199566.0	32.71154952479453	59.952881403951764	52.0	45.96947647103666	30.0	43367954.0
SRX156372	0.2811195709495254	41681	0.58	85920.0	40.51362713683782	63.65842904016576	53.0	42.421885267522896	60.0	14826787.0
SRX156375	0.6246663017105628	184855	0.79	234341.0	26.385167049836944	35.67104513735838	53.0	43.425246142616736	30.0	29592600.0
SRX156377	0.5255700620044221	68493	1.55	202423.0	27.11852740273485	41.37363314793966	53.0	43.44265601914038	40.0	13032135.0
SRX156378	0.2414781704667065	22772	0.43	40697.0	22.789650616942282	38.051283060458566	52.0	45.66052869000744	30.0	9430252.0
SRX156379	0.1730560974651941	20800	0.32	38212.0	34.99698287653536	41.184571372209476	51.0	44.946414427420606	40.0	12019224.0
