Sample	se_sense	se_antisense	failed
SRX080704	0.3561	0.3499	0.294
SRX080705	0.3743	0.2429	0.3829
SRX080707	0.6847	0.2432	0.0721
SRX080708	0.6258	0.3221	0.0521
SRX080709	0.287	0.3728	0.3402
SRX080710	0.3903	0.1061	0.5036
SRX080711	0.1695	0.1062	0.7243
SRX080712	0.6262	0.112	0.2619
SRX156368	0.6471	0.2941	0.0588
SRX156370	0.1833	0.2408	0.5759
SRX156371	0.5708	0.2489	0.1803
SRX156372	0.7122	0.2694	0.0184
SRX156375	0.6344	0.2772	0.0884
SRX156377	0.1102	0.8488	0.041
SRX156378	0.7403	0.1552	0.1045
SRX156379	0.7078	0.204	0.0882
