task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	12/95c20b	136988	gff2bed	COMPLETED	0	2023-02-27 14:40:49.787	2.3s	0ms	80.0%	5.4 MB	22.1 MB	659.7 KB	616.4 KB
1	b0/89c8bd	137014	bowtie_build	COMPLETED	0	2023-02-27 14:40:49.807	5.3s	3s	98.4%	100.6 MB	134.3 MB	34.3 MB	26.3 MB
4	18/2aa8d7	137021	download_fastq (2)	COMPLETED	0	2023-02-27 14:40:49.814	19m 4s	19m 2s	95.8%	80.5 MB	161.4 MB	15.3 GB	15.9 GB
9	0b/32bc3e	158285	download_fastq (7)	COMPLETED	0	2023-02-27 14:59:53.987	13m 51s	13m 48s	100.1%	82 MB	162.7 MB	11.2 GB	11.6 GB
11	2b/f249ba	168767	download_fastq (9)	COMPLETED	0	2023-02-27 15:13:44.901	18m 30s	18m 23s	63.2%	83.5 MB	164.2 MB	14.5 GB	15.1 GB
6	7d/9694f9	138172	download_fastq (4)	COMPLETED	0	2023-02-27 14:40:55.094	1h 4m 11s	1h 4m 10s	106.0%	83.5 MB	164.1 MB	60.1 GB	62.4 GB
16	37/80817a	182682	trim_galore (5)	COMPLETED	0	2023-02-27 15:45:05.662	1m 20s	1m 18s	470.0%	312.9 MB	3.1 GB	14.1 GB	13 GB
12	4f/ca8d9e	188478	trim_galore (1)	COMPLETED	0	2023-02-27 15:46:25.360	2m 58s	2m 57s	522.6%	315.6 MB	3.1 GB	30.3 GB	27.9 GB
13	cf/b693c5	198401	trim_galore (2)	COMPLETED	0	2023-02-27 15:49:23.337	2m 9s	2m 7s	507.3%	313 MB	3 GB	20.4 GB	18.8 GB
15	1b/8ca978	206371	trim_galore (4)	COMPLETED	0	2023-02-27 15:51:32.390	1m 48s	1m 46s	504.0%	321 MB	3 GB	15.8 GB	14.6 GB
14	13/7b67f2	213783	trim_galore (3)	COMPLETED	0	2023-02-27 15:53:20.327	1m 30s	1m 29s	483.1%	313 MB	3.1 GB	12.7 GB	11.7 GB
17	de/37b713	220017	trim_galore (6)	COMPLETED	0	2023-02-27 15:54:50.824	2m 57s	2m 55s	494.7%	314.8 MB	3.1 GB	28.6 GB	26.5 GB
18	44/7f7169	230636	trim_galore (7)	COMPLETED	0	2023-02-27 15:57:48.203	2m 25s	2m 23s	538.1%	313.4 MB	3.1 GB	20.8 GB	19.1 GB
19	fd/0548c7	239091	trim_galore (8)	COMPLETED	0	2023-02-27 16:00:12.771	2m 22s	2m 20s	573.2%	308.9 MB	3.1 GB	23.9 GB	21.7 GB
20	4e/14f4a5	248472	trim_galore (9)	COMPLETED	0	2023-02-27 16:02:34.928	13m 6s	13m 4s	545.4%	322.7 MB	3.1 GB	114.6 GB	106.4 GB
21	59/9eab55	284725	bowtie_align (1)	COMPLETED	0	2023-02-27 16:15:41.254	1m 31s	1m 28s	772.4%	30 MB	157.7 MB	574.7 MB	1.4 GB
22	d9/9b34b2	286482	bowtie_align (2)	COMPLETED	0	2023-02-27 16:17:12.234	3m 17s	3m 9s	771.1%	31 MB	153.6 MB	1.2 GB	2.9 GB
23	92/2e7a8e	289388	bowtie_align (3)	COMPLETED	0	2023-02-27 16:20:28.972	1m 57s	1m 55s	776.4%	31.1 MB	157.7 MB	776.7 MB	1.9 GB
24	09/f45362	291418	bowtie_align (4)	COMPLETED	0	2023-02-27 16:22:25.620	1m 33s	1m 32s	778.3%	30.2 MB	153.6 MB	633.1 MB	1.5 GB
25	52/a5575a	293217	bowtie_align (5)	COMPLETED	0	2023-02-27 16:23:58.431	1m 18s	1m 17s	777.4%	30.5 MB	157.7 MB	526.5 MB	1.3 GB
26	4d/b0ae71	294815	bowtie_align (6)	COMPLETED	0	2023-02-27 16:25:16.899	2m 45s	2m 38s	775.6%	31.4 MB	153.6 MB	1 GB	2.6 GB
27	08/d52400	297415	bowtie_align (7)	COMPLETED	0	2023-02-27 16:28:02.101	2m 5s	2m 2s	773.2%	30.6 MB	157.7 MB	820.7 MB	2 GB
28	4a/d0562b	299591	bowtie_align (8)	COMPLETED	0	2023-02-27 16:30:07.345	1m 36s	1m 33s	773.9%	30.4 MB	149.6 MB	653.1 MB	1.5 GB
29	09/3d595b	301352	bowtie_align (9)	COMPLETED	0	2023-02-27 16:31:43.801	11m 44s	11m 41s	777.1%	31 MB	149.6 MB	4.6 GB	11.5 GB
30	2f/66ce0a	309055	sam2bam (1)	COMPLETED	0	2023-02-27 16:43:27.949	41.7s	40s	323.4%	2 GB	7.6 GB	1.9 GB	975.9 MB
38	b1/8128a3	310310	get_read_direction (5)	COMPLETED	0	2023-02-27 16:44:09.703	31.6s	28s	94.2%	36.2 MB	371.4 MB	1.3 GB	482 B
31	6d/bafd55	310258	get_read_direction (1)	COMPLETED	0	2023-02-27 16:44:09.693	33.3s	31s	94.2%	36.2 MB	371.4 MB	1.4 GB	482 B
36	38/ae73c0	310283	get_read_direction (4)	COMPLETED	0	2023-02-27 16:44:09.699	36.6s	33s	93.2%	36.2 MB	371.4 MB	1.5 GB	482 B
44	61/2c5d19	310373	get_read_direction (8)	COMPLETED	0	2023-02-27 16:44:09.714	37.1s	34s	92.3%	36 MB	371.4 MB	1.5 GB	482 B
34	5d/924a31	310270	get_read_direction (3)	COMPLETED	0	2023-02-27 16:44:09.697	41.4s	39s	93.0%	36 MB	371.4 MB	1.9 GB	483 B
43	f0/d4a59f	310354	get_read_direction (7)	COMPLETED	0	2023-02-27 16:44:09.710	43.7s	40s	93.7%	36 MB	371.4 MB	2 GB	482 B
41	52/a85b70	310332	get_read_direction (6)	COMPLETED	0	2023-02-27 16:44:09.707	49.7s	48s	93.4%	36 MB	371.4 MB	2.6 GB	498 B
33	29/f6c80e	310260	get_read_direction (2)	COMPLETED	0	2023-02-27 16:44:09.694	53.6s	51s	93.5%	36.1 MB	371.4 MB	2.9 GB	483 B
47	17/a198f9	317568	get_read_direction (9)	COMPLETED	0	2023-02-27 16:44:41.277	1m 37s	1m 36s	97.8%	36.3 MB	371.4 MB	11.5 GB	483 B
32	71/a5edf9	320515	sam2bam (2)	COMPLETED	0	2023-02-27 16:46:18.564	1m 6s	1m 4s	446.6%	4.3 GB	7.8 GB	3.9 GB	2 GB
35	ff/bcdd20	322001	sam2bam (3)	COMPLETED	0	2023-02-27 16:47:24.640	1m	58s	285.0%	2.8 GB	7.6 GB	2.5 GB	1.3 GB
37	54/b1b693	323455	sam2bam (4)	COMPLETED	0	2023-02-27 16:48:24.881	28.6s	27s	504.5%	2.2 GB	7.5 GB	2 GB	1.1 GB
39	46/22fc2b	324515	sam2bam (5)	COMPLETED	0	2023-02-27 16:48:53.449	31.8s	30s	395.9%	1.9 GB	7.5 GB	1.7 GB	893 MB
40	13/45cc7d	325609	sam2bam (6)	COMPLETED	0	2023-02-27 16:49:25.298	1m 19s	1m 18s	297.0%	3.8 GB	7.7 GB	3.5 GB	1.7 GB
42	07/c5b1ac	327257	sam2bam (7)	COMPLETED	0	2023-02-27 16:50:44.497	37.4s	36s	501.2%	2.9 GB	7.5 GB	2.6 GB	1.4 GB
45	e2/674b5f	328456	sam2bam (8)	COMPLETED	0	2023-02-27 16:51:21.915	40.7s	39s	346.0%	2.2 GB	7.5 GB	2 GB	1.1 GB
46	f7/a867e6	329617	sam2bam (9)	COMPLETED	0	2023-02-27 16:52:02.638	6m 50s	6m 48s	313.7%	7.3 GB	8.9 GB	19.3 GB	11.8 GB
48	f4/baa726	335138	featureCounts (1)	COMPLETED	0	2023-02-27 16:58:53.133	4.8s	3s	606.2%	127.4 MB	607.4 MB	980 MB	2 MB
49	31/c880c8	335570	featureCounts (2)	COMPLETED	0	2023-02-27 16:58:57.980	7.2s	5s	718.9%	127.5 MB	607.4 MB	2 GB	2 MB
50	bb/7f545d	336130	featureCounts (3)	COMPLETED	0	2023-02-27 16:59:05.172	5.4s	4s	708.4%	127.5 MB	607.4 MB	1.3 GB	2 MB
51	38/39a8b4	336621	featureCounts (4)	COMPLETED	0	2023-02-27 16:59:10.572	4.9s	4s	696.5%	127.4 MB	607.4 MB	1.1 GB	2 MB
52	b6/3e1883	337066	featureCounts (5)	COMPLETED	0	2023-02-27 16:59:15.478	4.7s	3s	710.1%	127.6 MB	607.4 MB	896.3 MB	2 MB
53	dd/24c0ae	337517	featureCounts (6)	COMPLETED	0	2023-02-27 16:59:20.161	8s	6s	724.9%	127.4 MB	607.4 MB	1.7 GB	2 MB
54	6b/a4c3d9	338092	featureCounts (7)	COMPLETED	0	2023-02-27 16:59:28.139	6.2s	4s	703.0%	127.5 MB	607.4 MB	1.4 GB	2 MB
55	6b/d3be67	338600	featureCounts (8)	COMPLETED	0	2023-02-27 16:59:34.312	5s	3s	694.0%	127.5 MB	607.4 MB	1.1 GB	2 MB
56	b3/1bd431	339062	featureCounts (9)	COMPLETED	0	2023-02-27 16:59:39.359	28.3s	27s	746.1%	127.6 MB	607.4 MB	8 GB	2 MB
57	04/9f09cc	340108	assemble_tpm	COMPLETED	0	2023-02-27 17:00:07.693	1.3s	569ms	181.0%	10.4 MB	15.5 MB	9.2 MB	545.8 KB
58	f7/a588a5	340416	multiqc (1)	COMPLETED	0	2023-02-27 17:00:09.044	3.5s	2.4s	113.9%	61.3 MB	1 GB	41.8 MB	3.7 MB
