Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10421011,2019-11-28 21:32:19,2019-11-09 01:20:45,11573236,2337793672,11573236,202,1287,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/421/SRR10421011.sralite.1,SRX7119039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP229334,PRJNA588336,,588336,SRS5629180,SAMN13241839,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM4154629,,,,,,,no,,,,,GEO,SRA993563,,public,04AA85D9CA43941488596FBA97AEC40F,D95E2791A6DF643AF945C5C08073E86A
SRR10421012,2019-11-28 21:32:19,2019-11-09 01:20:09,9949625,2009824250,9949625,202,1128,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/421/SRR10421012.sralite.1,SRX7119040,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP229334,PRJNA588336,,588336,SRS5629181,SAMN13241838,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM4154630,,,,,,,no,,,,,GEO,SRA993563,,public,13F60859C2DE9582F46EBE023D6F6E04,6384727342A858E7E5FD54F5F2929CE6
SRR10421013,2019-11-28 21:32:19,2019-11-09 01:20:51,11561646,2335452492,11561646,202,1267,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/421/SRR10421013.sralite.1,SRX7119041,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP229334,PRJNA588336,,588336,SRS5629182,SAMN13241837,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM4154631,,,,,,,no,,,,,GEO,SRA993563,,public,A00398F50244EBC8C265062BAAA89344,3FFC8976F72B748D5B15B1CE3C3C22F4
SRR19538272,2022-06-06 13:09:15,2022-06-06 13:02:43,6570183,657018300,0,100,380,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538272/SRR19538272.lite.1,SRX15590299,GSM6212719,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292321,SAMN28860397,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212719,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,0AB36567A42CFACB4533E805F04009D3,618C25754C604C2D74B8A470CC35B55A
SRR19538271,2022-06-06 13:09:15,2022-06-06 13:03:34,7240321,724032100,0,100,418,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19538/SRR19538271/SRR19538271.lite.1,SRX15590300,GSM6212720,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292322,SAMN28860396,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212720,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,577317D6E3E4035A30B2BB86483C8503,8328FAE3093ABF0F298D623597423B9E
SRR19538270,2022-06-06 13:09:15,2022-06-06 13:03:42,7709268,770926800,0,100,445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19538/SRR19538270/SRR19538270.lite.1,SRX15590301,GSM6212721,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292323,SAMN28860395,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212721,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,D2F444E40182CCAAFED919D11463AEDB,6A234C9308434D8BA75671993BD041A6
SRR19538269,2022-06-06 13:09:15,2022-06-06 13:03:19,7202205,720220500,0,100,417,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538269/SRR19538269.lite.1,SRX15590302,GSM6212722,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292324,SAMN28860394,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212722,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,8777FA797A1EF99283A9010562800C5E,B8B74D74589BDBF425DA17FABCBF44C6
SRR19538268,2022-06-06 13:09:15,2022-06-06 13:03:26,7262567,726256700,0,100,419,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538268/SRR19538268.lite.1,SRX15590303,GSM6212723,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292325,SAMN28860393,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212723,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,BE5F0E3D7DB395408AD795B09FBF875C,8814866294D468BC8CCEFD39C6D2B9BB
SRR19538267,2022-06-06 13:09:15,2022-06-06 13:02:53,7036951,703695100,0,100,410,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538267/SRR19538267.lite.1,SRX15590304,GSM6212724,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292326,SAMN28860392,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212724,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,323DACB4FD72F1611D14A78D963E4BDE,7DABF15E9B2611E16422EDF65AF1C3AE
SRR19538266,2022-06-06 13:09:15,2022-06-06 13:03:20,6941341,694134100,0,100,405,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538266/SRR19538266.lite.1,SRX15590305,GSM6212725,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292327,SAMN28860391,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212725,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,09626E2B128F13087B15E204ABEC9A88,39F4053FDE9034B4B19CD895086900B2
SRR19538265,2022-06-06 13:09:15,2022-06-06 13:03:17,6894458,689445800,0,100,398,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19538/SRR19538265/SRR19538265.lite.1,SRX15590306,GSM6212726,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292328,SAMN28860390,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212726,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,6F7087C5328E7A7AF508789C619CAA22,0387815F9DB743100F26801654416FFD
SRR19538264,2022-06-06 15:00:38,2022-06-06 14:00:38,6065989,606598900,0,100,351,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19538/SRR19538264/SRR19538264.lite.1,SRX15590307,GSM6212727,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292329,SAMN28860389,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212727,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,51AEC87447480D52938C53B37EE3F49C,B8D3549A2A27291C6EEB5FF7BDBF39E3
SRR19538263,2022-06-06 15:00:38,2022-06-06 14:00:52,7187072,718707200,0,100,416,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538263/SRR19538263.lite.1,SRX15590308,GSM6212728,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP378421,PRJNA845529,3,845529,SRS13292330,SAMN28860388,simple,1140,Synechococcus elongatus PCC 7942 = FACHB-805,GSM6212728,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA SAN DIEGO,SRA1431447,,public,706DFDA8C24038ABAE393385DF3BBFC2,033D5286B5621EE701BDD00F60B01889
