	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	passed_curation	passed_replicate_correlations
SRX12668170	SRR16464638	2021-10-21 12:51:12	2021-10-19 22:25:55	11521763	3304438182	11521763	286	1081		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR016/16464/SRR16464638/SRR16464638.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619966	SAMN22368186	simple	1148	Synechocystis sp. PCC 6803	GSM5629523							no					GEO	SRA1312575		public	B23F24CD4544D3CF2FF76B076B791FB0	F14BE5C31DBCBF9FDBCC8743D80284ED			True	True	True	True	True
SRX12668171	SRR16464639	2021-10-21 12:51:12	2021-10-19 22:37:27	14722609	4211672855	14722609	286	1382		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16464/SRR16464639/SRR16464639.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619967	SAMN22368187	simple	1148	Synechocystis sp. PCC 6803	GSM5629524							no					GEO	SRA1312575		public	13AF2D44A3CB5D3E7BCBBB123FA5F6B1	1A4884B20D76E03FD5DC55E9B376EC7A			True	True	True	True	True
SRX12668172	SRR16464640	2021-10-21 12:51:12	2021-10-19 22:26:38	11368672	3231868266	11368672	284	1057		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16464/SRR16464640/SRR16464640.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619970	SAMN22368188	simple	1148	Synechocystis sp. PCC 6803	GSM5629525							no					GEO	SRA1312575		public	C2B5A8D874C4988BBFB8B3F81C45B4C3	E7682D21F5669C0C426900E59A58637F			True	True	True	True	True
SRX12668173	SRR16464641	2021-10-21 12:51:12	2021-10-19 22:35:10	12835973	3648283176	12835973	284	1188		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16464/SRR16464641/SRR16464641.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619968	SAMN22368189	simple	1148	Synechocystis sp. PCC 6803	GSM5629526							no					GEO	SRA1312575		public	E2F1CB56091B86A8797CB1A0B8D8AA49	0F50D3752E33265B73C7F04C34C78ADE			True	False	False	False	True
SRX12668174	SRR16464642	2021-10-21 12:51:12	2021-10-19 22:25:12	11293865	3195027108	11293865	282	1040		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16464/SRR16464642/SRR16464642.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619969	SAMN22368190	simple	1148	Synechocystis sp. PCC 6803	GSM5629527							no					GEO	SRA1312575		public	3A20189D4682661312D323DDDD7EE8CE	8260A8A0EABCD2C83E7FDF43D5D661CF			True	False	False	False	True
SRX12668175	SRR16464643	2021-10-21 12:51:12	2021-10-19 22:23:00	10716569	3046515636	10716569	284	988		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16464/SRR16464643/SRR16464643.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619971	SAMN22368191	simple	1148	Synechocystis sp. PCC 6803	GSM5629528							no					GEO	SRA1312575		public	3B5AE75765ABF0A997C6FAA05F59A140	1A55625EA5B69F02DBBC285CDEE05B89			True	False	False	False	True
SRX12668176	SRR16464644	2021-10-21 12:51:12	2021-10-19 22:27:36	12824088	3666039002	12824088	285	1195		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16464/SRR16464644/SRR16464644.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619973	SAMN22368192	simple	1148	Synechocystis sp. PCC 6803	GSM5629529							no					GEO	SRA1312575		public	F696F9E565332E9A8CC6AF457D08FDAA	AB031C3D121159C450FF690F4F3E9182			True	True	True	False	True
SRX12668177	SRR16464645	2021-10-21 12:51:12	2021-10-19 22:18:56	10327431	2945135204	10327431	285	959		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR016/16464/SRR16464645/SRR16464645.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619972	SAMN22368193	simple	1148	Synechocystis sp. PCC 6803	GSM5629530							no					GEO	SRA1312575		public	35804575967F0F079F82C01A712BC49F	6A3774368AD13AEC9F25DF3C99B62C0D			True	False	False	False	True
SRX12668178	SRR16464646	2021-10-21 12:51:12	2021-10-19 22:20:12	10710019	3047038221	10710019	284	995		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16464/SRR16464646/SRR16464646.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619974	SAMN22368194	simple	1148	Synechocystis sp. PCC 6803	GSM5629531							no					GEO	SRA1312575		public	6AC6D470368CD77D4311FB1E5E694831	B1EBD4921082FF35D7712CBD0FD995CB			True	False	False	False	True
SRX12668179	SRR16464647	2021-10-21 12:51:12	2021-10-19 22:15:34	8219965	2324055126	8219965	282	771		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16464/SRR16464647/SRR16464647.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP341882	PRJNA772179		772179	SRS10619975	SAMN22368195	simple	1148	Synechocystis sp. PCC 6803	GSM5629532							no					GEO	SRA1312575		public	11C4A07C3D4CADE6B874A8BB12079E9E	AE7E28B67C5ED2D696071987898A5D8B			True	True	True	True	True
