Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX13465624	SRR17288251;SRR17288252	2022-01-20 10:15:20	2021-12-21 10:41:31	4989409	252352280	0	50	106		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288252/SRR17288252.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11362995	SAMN24271455	simple	1148	Synechocystis sp. PCC 6803	GSM5745389							no					GEO	SRA1346821		public	CF6B77C89DC64E7B6BAAB93D977B0C54	AF1BB9B01637E295DE0FE43D1F46BFB2		
SRX13465625	SRR17288253;SRR17288254	2022-01-20 10:15:20	2021-12-21 10:41:03	4926620	249116615	0	50	104		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288254/SRR17288254.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11362994	SAMN24271457	simple	1148	Synechocystis sp. PCC 6803	GSM5745390							no					GEO	SRA1346821		public	8E4E554DB1DE51E7184230839DAE15D4	2162EE6247AACDDE0FDDB0D28B8572FD		
SRX13465626	SRR17288255;SRR17288256	2022-01-20 10:15:20	2021-12-21 10:41:34	6188314	313542005	0	50	131		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288256/SRR17288256.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11362996	SAMN24271458	simple	1148	Synechocystis sp. PCC 6803	GSM5745391							no					GEO	SRA1346821		public	ECF12DBF1BF19A6DB49569B3412C6CD4	D3891DB6FC7C05E686883E06B17AFDBC		
SRX13465627	SRR17288257;SRR17288258;SRR17288259	2022-01-20 10:15:20	2021-12-21 10:40:41	3205912	162060109	0	50	68		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288259/SRR17288259.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11362998	SAMN24271460	simple	1148	Synechocystis sp. PCC 6803	GSM5745392							no					GEO	SRA1346821		public	D06315C9A465CB1C5DD49C8C38BB776F	005E2E0D1C18A156BECE5094763EE865		
SRX13465628	SRR17288260;SRR17288261;SRR17288262	2022-01-20 10:15:20	2021-12-21 10:42:13	7357585	372628833	0	50	145		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288262/SRR17288262.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11362997	SAMN24271461	simple	1148	Synechocystis sp. PCC 6803	GSM5745393							no					GEO	SRA1346821		public	F317D0D141C05B086F8AF58C29EBEFFA	472EA9BF65DFF5DA3440DDA9BA4CF6E2		
SRX13465629	SRR17288263;SRR17288264	2022-01-20 10:15:20	2021-12-21 10:41:23	4732289	239581853	0	50	100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288264/SRR17288264.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11362999	SAMN24271462	simple	1148	Synechocystis sp. PCC 6803	GSM5745394							no					GEO	SRA1346821		public	DE876B700574576F9BAB12552B39626C	0343376B683A6C8E4E876037398B0826		
SRX13465630	SRR17288265;SRR17288266;SRR17288267	2022-01-20 10:15:20	2021-12-21 10:40:46	3586934	181166505	0	50	77		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288267/SRR17288267.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363000	SAMN24271463	simple	1148	Synechocystis sp. PCC 6803	GSM5745395							no					GEO	SRA1346821		public	3781CE358B792845397ED973DAB7E5C4	6890FD3A2246C28B91715C8B092482D6		
SRX13465631	SRR17288268;SRR17288269;SRR17288270	2022-01-20 10:15:20	2021-12-21 10:42:00	4124943	208697055	0	50	89		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288270/SRR17288270.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363002	SAMN24271464	simple	1148	Synechocystis sp. PCC 6803	GSM5745396							no					GEO	SRA1346821		public	B134C76138E5BB17589953DE3B589EAF	B846F11069AA39BA8E53DBE5EA0D87CD		
SRX13465632	SRR17288271;SRR17288272;SRR17288273	2022-01-20 10:15:20	2021-12-21 10:43:09	11941306	604973305	0	50	228		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288273/SRR17288273.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363001	SAMN24271465	simple	1148	Synechocystis sp. PCC 6803	GSM5745397							no					GEO	SRA1346821		public	28C3F9C1C2E7DB16D758D9FA9EDADAEC	2F75E32DAB6104E03B7343D9490CD493		
SRX13465633	SRR17288274;SRR17288275;SRR17288276	2022-01-20 10:15:20	2021-12-21 10:40:55	3654953	184979108	0	50	78		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288276/SRR17288276.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363003	SAMN24271466	simple	1148	Synechocystis sp. PCC 6803	GSM5745398							no					GEO	SRA1346821		public	4A02B46DF2B799D82082C70E1442B647	5AC80337077C8E8EE098433BACFA7AE5		
SRX13465634	SRR17288277;SRR17288278	2022-01-20 10:15:20	2021-12-21 10:42:01	8297088	420129211	0	50	175		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288278/SRR17288278.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363005	SAMN24271467	simple	1148	Synechocystis sp. PCC 6803	GSM5745399							no					GEO	SRA1346821		public	244C8E0AE8E803BD18F36CAB3941259D	04C80AAA3715C6F9EB83DD139DF0998B		
SRX13465635	SRR17288279;SRR17288280	2022-01-20 10:15:20	2021-12-21 10:41:30	5793564	293489373	0	50	122		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288280/SRR17288280.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363004	SAMN24271468	simple	1148	Synechocystis sp. PCC 6803	GSM5745400							no					GEO	SRA1346821		public	6AF8E54744A5423797224809FDB871A9	96E277A8E267D5E4997CDCA751D963D6		
SRX13465636	SRR17288281;SRR17288282;SRR17288283	2022-01-20 10:15:20	2021-12-21 10:40:50	3682622	186374801	0	50	78		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288283/SRR17288283.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363006	SAMN24271469	simple	1148	Synechocystis sp. PCC 6803	GSM5745401							no					GEO	SRA1346821		public	76BD638472463FD766B31D8065119112	12E8B2D60B8897A5D8DB6958CAE2B899		
SRX13465637	SRR17288284;SRR17288285	2022-01-20 10:15:20	2021-12-21 10:41:45	6255002	316755347	0	50	135		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17288/SRR17288285/SRR17288285.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363008	SAMN24271470	simple	1148	Synechocystis sp. PCC 6803	GSM5745402							no					GEO	SRA1346821		public	BF939B3CF65447B0A0BFD232AE1BDC90	C9CA718583F5463A6A97B20AA748FD09		
SRX13465638	SRR17288286;SRR17288287	2022-01-20 10:15:20	2021-12-21 10:47:24	22462413	1136940599	0	50	468		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288287/SRR17288287.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363007	SAMN24271471	simple	1148	Synechocystis sp. PCC 6803	GSM5745403							no					GEO	SRA1346821		public	A3767BFFBF7E4EAA70FDF4BA27723D4C	8E0D8666773D2288949048F02387BE2B		
SRX13465639	SRR17288288;SRR17288289;SRR17288290	2022-01-20 10:15:20	2021-12-21 10:41:03	2682467	135543117	0	50	57		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288290/SRR17288290.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363009	SAMN24271472	simple	1148	Synechocystis sp. PCC 6803	GSM5745404							no					GEO	SRA1346821		public	64DE818B4959E5E547BDCD7F590618F2	6C4D99F5F355553C4E7C0772DC82E1E9		
SRX13465640	SRR17288291;SRR17288292	2022-01-20 10:15:20	2021-12-21 10:41:41	5842684	294154390	0	50	125		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288292/SRR17288292.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363010	SAMN24271473	simple	1148	Synechocystis sp. PCC 6803	GSM5745405							no					GEO	SRA1346821		public	5E07BB7888FD6F7A302BF905AF89CB96	BCA8BBFDC8B1E1526650D5EA66816DF0		
SRX13465641	SRR17288293;SRR17288294	2022-01-20 10:15:20	2021-12-21 10:44:46	15308038	775504598	0	50	320		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17288/SRR17288294/SRR17288294.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363012	SAMN24271474	simple	1148	Synechocystis sp. PCC 6803	GSM5745406							no					GEO	SRA1346821		public	3FFF612711DFF26696C083A13467510F	1D34D9F99FA610FC357077E13176DD16		
SRX13465642	SRR17288295;SRR17288296;SRR17288297	2022-01-20 10:15:20	2021-12-21 10:40:54	4023277	203512044	0	50	85		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17288/SRR17288297/SRR17288297.lite.1		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 3000	SRP351868	PRJNA791245	3	791245	SRS11363011	SAMN24271475	simple	1148	Synechocystis sp. PCC 6803	GSM5745407							no					GEO	SRA1346821		public	055BB7634165E0C78D1DC2A2A0706DEF	F32DC65280AA8E09141797134828C0E9		
