Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX8102890	19267839.0	17397487.0	90.29	1870352.0	9.71
SRX8102891	15519926.0	14597223.0	94.05	922703.0	5.95
SRX8102892	15483970.0	14180188.0	91.58	1303782.0	8.42
SRX8102893	13631269.0	12330903.0	90.46	1300366.0	9.54
SRX8102894	14637772.0	13153451.0	89.86	1484321.0	10.14
SRX8102895	13359620.0	11920168.0	89.23	1439452.0	10.77
SRX8102896	16636411.0	15443892.0	92.83	1192519.0	7.17
SRX8102897	14579698.0	13811705.0	94.73	767993.0	5.27
SRX8102898	17350539.0	15495173.0	89.31	1855366.0	10.69
SRX8102899	17641186.0	16257706.0	92.16	1383480.0	7.84
SRX8102900	18409166.0	16739961.0	90.93	1669205.0	9.07
SRX8102901	14762097.0	13295502.0	90.07	1466595.0	9.93
