Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX8102890	19267839	13482847	143069	1870352	0	0	0	0	3244	0	0	0	0	2537642	1221264	9421	69.97591686332858
SRX8102891	15519926	11310281	77540	922703	0	0	0	0	3483	0	0	0	0	2231267	963194	11458	72.8758693823669
SRX8102892	15483970	9928448	80815	1303782	0	0	0	0	1211	0	0	0	0	3292295	872353	5066	64.12081656061075
SRX8102893	13631269	8653421	51236	1300366	0	0	0	0	1361	0	0	0	0	2930205	688708	5972	63.482138016643944
SRX8102894	14637772	10293492	46930	1484321	0	0	0	0	2689	0	0	0	0	1893276	909283	7781	70.32143962892712
SRX8102895	13359620	8777463	182133	1439452	0	0	0	0	1325	0	0	0	0	2230112	723421	5714	65.70144210688628
SRX8102896	16636411	11268122	236215	1192519	0	0	0	0	1599	0	0	0	0	3058996	870929	8031	67.73168804257121
SRX8102897	14579698	10049233	86163	767993	0	0	0	0	1505	0	0	0	0	2844604	822481	7719	68.9262082108971
SRX8102898	17350539	11305331	84558	1855366	0	0	0	0	2585	0	0	0	0	3140877	952409	9413	65.15838499311174
SRX8102899	17641186	11951663	132333	1383480	0	0	0	0	2459	0	0	0	0	3142534	1018238	10479	67.74863662794553
SRX8102900	18409166	12219843	173987	1669205	0	0	0	0	2214	0	0	0	0	3264980	1069553	9384	66.37912331281058
SRX8102901	14762097	9673456	93387	1466595	0	0	0	0	1750	0	0	0	0	2740027	780247	6635	65.52900986899084
