Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX8102890	SRR11531846	2020-04-13 06:12:16	2020-04-13 06:08:15	19267901	5770704230	19267901	299	1971		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531846.sralite.1	6803_0h_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468672	SAMN14589710	simple	1148	Synechocystis sp. PCC 6803	6803_0h_1							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	A8BBBBFDED2340CADCAD67E86CB1C258	6CA38C1A859560615511B4C27A8F9A3F		
SRX8102891	SRR11531845	2020-04-13 06:12:16	2020-04-13 06:08:43	15519984	4657351912	15519984	300	1594		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531845.sralite.1	6803_0h_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468673	SAMN14589711	simple	1148	Synechocystis sp. PCC 6803	6803_0h_2							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	0EFE953103AB72A2157B023B73DDE90D	C620F44636016A303AF761B22ECED6A3		
SRX8102892	SRR11531844	2020-04-13 06:13:35	2020-04-13 06:11:44	15484020	4643006198	15484020	299	1565		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531844.sralite.1	M0247_4h_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468674	SAMN14589726	simple	1148	Synechocystis sp. PCC 6803	M0247_4h_2							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	81573944250BF880E2C761512E17A790	EF34899F97C3283501DC877042509ED6		
SRX8102893	SRR11531843	2020-04-13 06:11:13	2020-04-13 06:06:43	13631320	4105822064	13631320	301	1393		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531843.sralite.1	M0247_4h_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468675	SAMN14589727	simple	1148	Synechocystis sp. PCC 6803	M0247_4h_3							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	C1FC8CA8C60491F5BF0AF1292F39FB9E	E8F4012AF41217C2BD04A7C9128B2883		
SRX8102894	SRR11531842	2020-04-13 06:11:14	2020-04-13 06:07:30	14637815	4393010694	14637815	300	1495		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531842.sralite.1	6803_0h_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468676	SAMN14589712	simple	1148	Synechocystis sp. PCC 6803	6803_0h_3							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	55A437CF7E156863AABAC2BBCB3378A8	14FADE6BA5EA0DDD43B35B69CD8F19DE		
SRX8102895	SRR11531841	2020-04-13 06:12:16	2020-04-13 06:07:52	13359650	4006009746	13359650	299	1358		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531841.sralite.1	6803_4h_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468677	SAMN14589713	simple	1148	Synechocystis sp. PCC 6803	6803_4h_1							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	908F0E2C38D5CDC66C1F670B1F05D685	9853976F4E5A5D1CB97DE4B6FEFDC594		
SRX8102896	SRR11531840	2020-04-13 06:13:36	2020-04-13 06:11:54	16636442	4992160654	16636442	300	1712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531840.sralite.1	6803_4h_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468678	SAMN14589714	simple	1148	Synechocystis sp. PCC 6803	6803_4h_2							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	AAD617188C03A3F23D3B13052FAB412C	D4322FA6D7FC9F36EF85CCEA39E9B47A		
SRX8102897	SRR11531839	2020-04-13 06:18:15	2020-04-13 06:15:53	14579729	4374357208	14579729	300	1485		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531839.sralite.1	6803_4h_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468679	SAMN14589715	simple	1148	Synechocystis sp. PCC 6803	6803_4h_3							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	308587A875FC20EEB80546208E92C88F	E89B8B2DFA070D88F323D6BB87B99B18		
SRX8102898	SRR11531838	2020-04-13 06:13:36	2020-04-13 06:11:27	17350936	5200374610	17350936	299	1784		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531838.sralite.1	M0247_0h_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468680	SAMN14589717	simple	1148	Synechocystis sp. PCC 6803	M0247_0h_1							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	AB7ABA63CBA103A8B62CC1E97F495CC2	D4555264382BEA11F82EB25132094399		
SRX8102899	SRR11531837	2020-04-13 06:14:19	2020-04-13 06:11:58	17641612	5294077578	17641612	300	1806		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR011/531/SRR11531837.sralite.1	M0247_0h_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP256110	PRJNA624961		624961	SRS6468681	SAMN14589718	simple	1148	Synechocystis sp. PCC 6803	M0247_0h_2							no					HUAZHONG AGRICULTURAL UNIVERSITY	SRA1064753		public	EC9A225412132D7920D37500F199C734	63AA21C67FDDD03828994AFDB51123D2		
