Sample	pe_sense	pe_antisense	failed
SRX12668170	0.0271	0.1981	0.7747
SRX12668171	0.0258	0.1997	0.7745
SRX12668172	0.0312	0.2251	0.7437
SRX12668173	0.0092	0.0935	0.8973
SRX12668174	0.0099	0.0804	0.9097
SRX12668175	0.0106	0.0778	0.9117
SRX12668176	0.0093	0.0902	0.9006
SRX12668177	0.0152	0.1069	0.8778
SRX12668178	0.0096	0.071	0.9194
SRX12668179	0.0303	0.2221	0.7475
SRX12668180	0.0087	0.0746	0.9167
SRX12668181	0.0389	0.2197	0.7415
SRX12668182	0.0296	0.1261	0.8443
SRX12668183	0.0388	0.2382	0.7229
SRX12668184	0.0062	0.0398	0.954
SRX12668185	0.0145	0.1068	0.8787
SRX12668186	0.0208	0.1289	0.8503
SRX12668187	0.0191	0.1128	0.8681
SRX12668188	0.0413	0.2501	0.7087
SRX12668189	0.0464	0.2719	0.6817
SRX12668190	0.0133	0.075	0.9117
SRX12668191	0.0299	0.1449	0.8252
SRX12668192	0.0149	0.1124	0.8727
SRX12668193	0.0176	0.1096	0.8728
SRX12668194	0.0304	0.2147	0.755
SRX12668195	0.0167	0.1099	0.8735
SRX12668196	0.0228	0.1648	0.8124
SRX12668197	0.0261	0.156	0.8179
SRX12668198	0.0416	0.2279	0.7305
SRX12668199	0.037	0.1888	0.7742
SRX12668200	0.0283	0.1906	0.7811
SRX12668201	0.0353	0.222	0.7427
SRX12668203	0.0381	0.2606	0.7013
SRX12668204	0.0415	0.2452	0.7133
SRX12668205	0.0197	0.1308	0.8495
SRX12668206	0.029	0.1749	0.7961
SRX12668207	0.0422	0.2915	0.6663
SRX12668208	0.0458	0.2675	0.6867
SRX12668209	0.039	0.262	0.699
SRX12668210	0.0422	0.3128	0.6449
SRX12668211	0.0329	0.2548	0.7123
SRX12668212	0.0403	0.3036	0.6561
SRX12668213	0.0459	0.333	0.621
SRX12668214	0.0486	0.2974	0.6539
SRX12668215	0.0506	0.2964	0.653
SRX12668216	0.0501	0.2714	0.6785
SRX12668217	0.0435	0.2188	0.7378
SRX12668218	0.032	0.1643	0.8037
SRX12668219	0.036	0.2372	0.7268
SRX12668220	0.0304	0.2141	0.7555
SRX12668221	0.0315	0.2215	0.747
SRX12668222	0.0412	0.299	0.6598
SRX12668223	0.0418	0.3053	0.6528
SRX12668224	0.0305	0.2206	0.7489
SRX12668225	0.0419	0.3063	0.6518
SRX12668226	0.0415	0.3162	0.6423
SRX12668227	0.0378	0.2677	0.6946
SRX12668228	0.0443	0.2815	0.6742
SRX12668229	0.0507	0.2526	0.6968
SRX12668230	0.0522	0.2213	0.7265
SRX12668231	0.023	0.161	0.8161
SRX12668232	0.0178	0.1306	0.8516
SRX12668233	0.0103	0.0844	0.9053
SRX12668234	0.0403	0.2589	0.7008
SRX12668235	0.0271	0.2151	0.7579
SRX12668236	0.0254	0.2039	0.7708
SRX12668237	0.0399	0.2918	0.6684
SRX12668238	0.0351	0.2506	0.7143
SRX12668239	0.043	0.2837	0.6733
SRX12668240	0.048	0.2792	0.6728
SRX12668241	0.0433	0.247	0.7098
SRX12668242	0.0527	0.2322	0.7151
