Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
SRX12668170	11520352	2285079	3749464	4909089	0	0	0	0	1841	0	0	0	0	364187	209043	1649	19.835149134332006	11520352.0	6611263.0	57.39	4909089.0	42.61	SRX12668170_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11520352.0	0.0	20-150	48.0	12.744851489073142	142.83976991328043	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11521763	3926298	11521763	1649856286	287036	1644288257	0.3374856978300473	0.0271	0.1981	0.7747
SRX12668171	14720811	2320889	3736416	8097864	0	0	0	0	868	0	0	0	0	359313	203977	1484	15.766040335685313	14720811.0	6622947.0	44.99	8097864.0	55.01	SRX12668171_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14720811.0	0.0	20-150	47.0	8.544347576257948	141.94157441461616	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	14722609	4271988	14722609	2109687846	358866	2103818677	0.2782008253556578	0.0258	0.1997	0.7745
SRX12668172	11368279	2554850	3222069	4960801	0	0	0	0	683	0	0	0	0	405248	223031	1597	22.47349840727871	11368279.0	6407478.0	56.36	4960801.0	43.64	SRX12668172_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11368279.0	0.0	18-150	48.0	13.454244021645431	141.58303609543714	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11368672	3679958	11368672	1613424812	275870	1608709221	0.2922721260344668	0.0312	0.2251	0.7437
SRX12668173	12834537	380206	1913647	10456589	0	0	0	0	110	0	0	0	0	49079	34709	197	2.962366308967749	12834537.0	2377948.0	18.53	10456589.0	81.47	SRX12668173_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12834537.0	0.0	20-150	46.0	3.969513070009505	141.02039894388088	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12835973	3817153	12835973	1827961481	303533	1822656701	0.2902019574886217	0.0092	0.0935	0.8973
SRX12668174	11292254	335522	1924416	8946445	0	0	0	0	70	0	0	0	0	53958	31629	214	2.971257996853418	11292254.0	2345809.0	20.77	8946445.0	79.23	SRX12668174_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11292254.0	0.0	20-150	46.0	4.117806985320335	140.35829321586283	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11293865	3236988	11293865	1600767763	266382	1596228904	0.2835426290378137	0.0099	0.0804	0.9097
SRX12668175	10715545	258122	1546895	8841941	0	0	0	0	86	0	0	0	0	41613	26682	206	2.408855545844845	10715545.0	1873604.0	17.48	8841941.0	82.52	SRX12668175_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10715545.0	0.0	20-150	45.0	3.9956457798417366	141.57104645633984	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	10716569	3438392	10716569	1520813900	248585	1515987659	0.3173459290449673	0.0106	0.0778	0.9117
SRX12668176	12822127	572979	2891458	9241175	0	0	0	0	268	0	0	0	0	63895	52044	308	4.46867356718585	12822127.0	3580952.0	27.93	9241175.0	72.07	SRX12668176_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12822127.0	0.0	20-150	47.0	4.530054382041856	141.79696059787895	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	12824088	3706829	12824088	1836835897	311999	1831706226	0.2792667003284289	0.0093	0.0902	0.9006
SRX12668177	10326511	341908	1354877	8543868	0	0	0	0	364	0	0	0	0	54865	30342	287	3.310973086650467	10326511.0	1782643.0	17.26	8543868.0	82.74	SRX12668177_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10326511.0	0.0	20-150	45.0	4.196410713096117	142.06429809642387	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10327431	3321138	10327431	1469632629	248637	1464991644	0.315792185640157	0.0152	0.1069	0.8778
SRX12668178	10708694	281889	1808525	8550760	0	0	0	0	135	0	0	0	0	41892	25288	205	2.6323377995486656	10708694.0	2157934.0	20.15	8550760.0	79.85	SRX12668178_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10708694.0	0.0	20-150	46.0	4.510895164237228	141.0881412803466	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	10710019	3146199	10710019	1527177037	249464	1522801373	0.2865197612318472	0.0096	0.071	0.9194
SRX12668179	8218959	1433237	1882186	4550466	0	0	0	0	345	0	0	0	0	229166	122694	865	17.43818164806516	8218959.0	3668493.0	44.63	4550466.0	55.37	SRX12668179_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8218959.0	0.0	20-150	47.0	12.82149791643346	141.07416036507786	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass	2.6	8219965	2667383	8219965	1158274604	262985	1154441496	0.3309325773666017	0.0303	0.2221	0.7475
