Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX1643160	703659	27267	205363	464444	0	0	0	0	0	0	0	0	0	4166	2395	24	3.8750303769297343	703659.0	239215.0	34.0	464444.0	66.0	SRX1643160_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	703659.0	0.0	20-464	51.0	36.11193353406178	194.79514082815683	pass	warn	warn	fail	fail	pass	warn	fail	fail	pass	2.6	823593	234349	823593	157109833	18756385	138031960	12.143016535444984	0.2319	0.2512	0.5169		
SRX1643581	328003	9684	100385	216329	0	0	0	0	0	0	0	0	0	790	806	9	2.952412020621763	328003.0	111674.0	34.05	216329.0	65.95	SRX1643581_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	328003.0	0.0	20-464	51.0	31.4926329354742	211.61498522879364	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	2.6	348924	102167	348924	76077870	6239524	69695028	8.389880000583611	0.2088	0.2747	0.5165		
SRX1643582	1113171	21790	348237	739550	0	0	0	0	0	0	0	0	0	1761	1814	19	1.9574710444307295	1113171.0	373621.0	33.56	739550.0	66.44	SRX1643582_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1113171.0	0.0	20-464	52.0	25.51075257149113	211.88836036871243	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	2.6	1183474	342649	1183474	257654580	20313378	236858158	8.071435019707392	0.2319	0.2657	0.5024		
SRX1643625	70493	1872	7613	48113	0	0	0	0	0	0	0	0	0	12714	179	2	2.65558282382648	70493.0	22380.0	31.75	48113.0	68.25	SRX1643625_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70493.0	0.0	20-358	51.0	57.16595974068347	186.5710354219568	pass	warn	warn	fail	warn	pass	warn	warn	fail	pass	2.6	82403	23358	82403	15385006	2101843	13251952	13.864498980370888	0.1667	0.3611	0.4722		
SRX1643626	183606	12284	47254	121476	0	0	0	0	0	0	0	0	0	1704	878	10	6.690413167325686	183606.0	62130.0	33.84	121476.0	66.16	SRX1643626_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	183606.0	0.0	20-455	51.0	51.27664673267758	185.59907083646505	pass	warn	warn	fail	warn	pass	warn	warn	fail	pass	2.6	214860	61097	214860	39800725	5376956	34342027	13.71507177319006	0.2407	0.213	0.5463		
SRX1643627	173272	9654	45465	115769	0	0	0	0	0	0	0	0	0	1690	688	6	5.571586869199871	173272.0	57503.0	33.19	115769.0	66.81	SRX1643627_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	173272.0	0.0	20-446	51.0	42.89036889976453	208.4524677962972	pass	warn	warn	fail	fail	pass	warn	fail	fail	pass	2.6	186988	54647	186988	40481415	4117573	36288411	10.35784939829796	0.2424	0.202	0.5556		
SRX347145	8111831	1015264	457693	5456545	0	0	0	0	11471	0	0	0	0	1031515	138564	779	12.51584260076424	8111831.0	2655286.0	32.73	5456545.0	67.27	SRX347145_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8111831.0	0.0	20-245	27.0	71.61087183034074	124.98125108868764	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass	2.6	8173488	6803260	8173488	1992736256	828068685	1014312627	49.099504565846566			0.4073	0.1899	0.4028
SRX347146	6135005	1121604	381191	3941704	0	0	0	0	8687	0	0	0	0	544847	135849	1123	18.282038889943856	6135005.0	2193301.0	35.75	3941704.0	64.25	SRX347146_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6135005.0	0.0	20-250	27.0	72.02834982638173	143.49783447609252	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass	2.6	6310727	1398030	6310727	1124638535	219387823	902812424	19.724213967112554			0.4126	0.1971	0.3903
SRX347147	7390745	931955	4071761	391191	0	0	0	0	3408	0	0	0	0	1847267	144571	592	12.609757203096574	7390745.0	6999554.0	94.71	391191.0	5.29	SRX347147_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7390745.0	0.0	20-245	49.0	14.403723463945184	143.75380573947552	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	2.6	7497214	4985957	7497214	1853187270	656453854	1063233354	42.62677219879672			0.3465	0.1969	0.4566
SRX347148	12038370	1593828	6408397	664191	0	0	0	0	6501	0	0	0	0	3110165	254296	992	13.2395664861605	12038370.0	11374179.0	94.48	664191.0	5.52	SRX347148_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12038370.0	0.0	20-250	49.0	10.54780637640129	157.51324423489226	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12120711	9467322	12120711	2976226499	677449843	1897357293	36.2495665690261			0.3448	0.1934	0.4618
