Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX368713	2.6	12944309	6368120	12944309	1294430900	56168235	1230708121	4.92284130423648
SRX368714	2.6	19850487	9762230	19850487	1985048700	79161680	1894091546	4.582111965313496
SRX368715	2.6	37402779	18257377	37402779	3740277900	200336278	3518185607	5.937855393044458
SRX368716	2.6	39973228	18696466	39973228	3997322800	186194995	3788522786	5.223496436164725
SRX368717	2.6	27868081	12950188	27868081	2786808100	104541533	2666389972	4.321005382466055
SRX368718	2.6	30233068	14293751	30233068	3023306800	119117242	2886678563	4.5191654713970815
SRX368719	2.6	17126232	8364814	17126232	1712623200	76686554	1625930977	5.061955426038839
SRX368720	2.6	34741999	16476503	34741999	3474199900	135298488	3319025164	4.46648841363446
SRX368721	2.6	41386356	15813995	41386356	4180021956	84351438	4074065439	2.5348315897697646
SRX368722	2.6	17899099	9412924	17899099	1789909900	85822135	1693104356	5.408403182752383
SRX368724	2.6	33357164	14919768	33357164	3335716400	114122046	3203665622	3.9586931910638445
SRX368725	2.6	31985927	23041219	31985927	3198592700	405080439	2769136381	13.42641465416963
SRX9848492	2.6	4923948	1410995	4923948	738592200	248205	736404658	0.2961772409727587
SRX9848493	2.6	9404201	3112902	9404201	1410630150	290189	1405759021	0.3453158150632184
SRX9848502	2.6	6828018	2082012	6828018	1024202700	331427	1020945132	0.31805891548616305
SRX9848503	2.6	6709074	1995512	6709074	1006361100	343254	1003217402	0.3123827023918154
SRX9848504	2.6	6538182	1966043	6538182	980727300	311393	977643221	0.31446855818125996
SRX9848505	2.6	6629439	2081238	6629439	994415850	192323	991258168	0.31754139880212084
