Sample	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX368713	0.842	0.0141	0.1439		
SRX368714	0.8674	0.0071	0.1254		
SRX368715	0.8545	0.0075	0.138		
SRX368716	0.8841	0.0033	0.1126		
SRX368717	0.7728	0.0374	0.1897		
SRX368718	0.8051	0.029	0.1658		
SRX368719	0.8532	0.0115	0.1353		
SRX368720	0.8498	0.0102	0.14		
SRX368721	0.7819	0.044	0.1742		
SRX368722	0.8787	0.0044	0.1169		
SRX368724	0.8581	0.008	0.1339		
SRX368725	0.8958	0.0037	0.1006		
SRX9848492			0.5825	0.0229	0.3946
SRX9848493			0.5556	0.0309	0.4135
SRX9848502			0.529	0.0338	0.4372
SRX9848503			0.6469	0.0314	0.3217
SRX9848504			0.6187	0.0344	0.3469
SRX9848505			0.6134	0.0355	0.3511
