Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX368713	12942217	1133179	8254937	2933294	0	0	0	0	0	0	0	0	0	449418	170663	726	8.755679185413133	12942217.0	10008923.0	77.34	2933294.0	22.66	SRX368713_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12942217.0	0.0	20-100	48.0	11.489413332226466	94.6728213566501	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	12944309	6368120	12944309	1294430900	56168235	1230708121	4.92284130423648	0.842	0.0141	0.1439		
SRX368714	19847089	1103142	13640133	4383509	0	0	0	0	0	0	0	0	0	550412	169465	428	5.55820553835376	19847089.0	15463580.0	77.91	4383509.0	22.09	SRX368714_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19847089.0	0.0	20-100	48.0	6.9687069939228365	95.00946461216554	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19850487	9762230	19850487	1985048700	79161680	1894091546	4.582111965313496	0.8674	0.0071	0.1254		
SRX368715	37392106	2080414	25392481	8433009	0	0	0	0	0	0	0	0	0	1114096	370757	1349	5.56377862215089	37392106.0	28959097.0	77.45	8433009.0	22.55	SRX368715_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37392106.0	0.0	20-100	48.0	7.3741226215316065	93.66401100809888	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	37402779	18257377	37402779	3740277900	200336278	3518185607	5.937855393044458	0.8545	0.0075	0.138		
SRX368716	39960544	562314	30196688	7915869	0	0	0	0	0	0	0	0	0	1175389	110159	125	1.4071730354821996	39960544.0	32044675.0	80.19	7915869.0	19.81	SRX368716_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39960544.0	0.0	20-100	49.0	4.404137869956932	94.38656205481088	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	39973228	18696466	39973228	3997322800	186194995	3788522786	5.223496436164725	0.8841	0.0033	0.1126		
SRX368717	27863266	3009385	15850292	5284684	0	0	0	0	0	0	0	0	0	2769665	946703	2537	10.800546497312984	27863266.0	22578582.0	81.03	5284684.0	18.97	SRX368717_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27863266.0	0.0	20-100	48.0	9.866991725093891	95.30164252819463	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	2.6	27868081	12950188	27868081	2786808100	104541533	2666389972	4.321005382466055	0.7728	0.0374	0.1897		
SRX368718	30226797	2700904	17762591	6035253	0	0	0	0	0	0	0	0	0	2885751	839993	2305	8.93546213315291	30226797.0	24191544.0	80.03	6035253.0	19.97	SRX368718_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30226797.0	0.0	20-100	49.0	9.03204924531008	95.10411586116784	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30233068	14293751	30233068	3023306800	119117242	2886678563	4.5191654713970815	0.8051	0.029	0.1658		
SRX368719	17123833	1370375	11201002	3835463	0	0	0	0	0	0	0	0	0	532783	182938	1272	8.0027351352936	17123833.0	13288370.0	77.6	3835463.0	22.4	SRX368719_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17123833.0	0.0	20-100	49.0	11.275619811628651	94.53922973904264	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17126232	8364814	17126232	1712623200	76686554	1625930977	5.061955426038839	0.8532	0.0115	0.1353		
SRX368720	34734408	2331691	24208053	6879888	0	0	0	0	0	0	0	0	0	917087	396216	1473	6.712914180083335	34734408.0	27854520.0	80.19	6879888.0	19.81	SRX368720_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34734408.0	0.0	20-100	49.0	6.898802019686245	95.12926289113663	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	34741999	16476503	34741999	3474199900	135298488	3319025164	4.46648841363446	0.8498	0.0102	0.14		
SRX368721	41376887	4899721	27800322	2003827	0	0	0	0	0	0	0	0	0	5180873	1487418	4726	11.841685915134214	41376887.0	39373060.0	95.16	2003827.0	4.84	SRX368721_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41376887.0	0.0	20-101	50.0	3.7954774466600254	97.7964141188292	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	41386356	15813995	41386356	4180021956	84351438	4074065439	2.5348315897697646	0.7819	0.044	0.1742		
SRX368722	17895842	571620	11951601	4870450	0	0	0	0	0	0	0	0	0	395202	106675	294	3.1941497918902058	17895842.0	13025392.0	72.78	4870450.0	27.22	SRX368722_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17895842.0	0.0	20-100	47.0	7.217212368319902	94.15933421852964	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17899099	9412924	17899099	1789909900	85822135	1693104356	5.408403182752383	0.8787	0.0044	0.1169		
SRX368724	33349796	1920447	24732869	5150147	0	0	0	0	0	0	0	0	0	1268682	276276	1375	5.758496993504847	33349796.0	28199649.0	84.56	5150147.0	15.44	SRX368724_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33349796.0	0.0	20-100	49.0	8.111040120030959	95.64845704003709	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	2.6	33357164	14919768	33357164	3335716400	114122046	3203665622	3.958693191063845	0.8581	0.008	0.1339		
SRX368725	31981731	419105	13493836	17670279	0	0	0	0	0	0	0	0	0	342403	55738	370	1.3104512698202608	31981731.0	14311452.0	44.75	17670279.0	55.25	SRX368725_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31981731.0	0.0	20-100	43.0	9.204794597108345	86.05530926390445	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	31985927	23041219	31985927	3198592700	405080439	2769136381	13.42641465416963	0.8958	0.0037	0.1006		
SRX9848492	4923932	2337053	490	489435	0	0	0	0	1902	0	0	0	0	1912248	181347	1457	47.46314530744941	4923932.0	4434497.0	90.06	489435.0	9.94	SRX9848492_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4923932.0	0.0	26-150	48.0	10.12733939701426	148.93312559962243	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2.6	4923948	1410995	4923948	738592200	248205	736404658	0.2961772409727587			0.5825	0.0229	0.3946
SRX9848493	9404120	5017434	515	807041	0	0	0	0	2233	0	0	0	0	3219864	354498	2535	53.353572689416985	9404120.0	8597079.0	91.42	807041.0	8.58	SRX9848493_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9404120.0	0.0	23-150	47.0	9.53278954721182	148.9990656223017	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	9404201	3112902	9404201	1410630150	290189	1405759021	0.3453158150632184			0.5556	0.0309	0.4135
SRX9848502	6827960	3728303	380	567987	0	0	0	0	2333	0	0	0	0	2275389	251380	2188	54.60346867878546	6827960.0	6259973.0	91.68	567987.0	8.32	SRX9848502_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6827960.0	0.0	20-150	49.0	9.90630116056415	148.97615144201197	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	6828018	2082012	6828018	1024202700	331427	1020945132	0.318058915486163			0.529	0.0338	0.4372
SRX9848503	6708961	3026651	211	727467	0	0	0	0	2170	0	0	0	0	2702964	247800	1698	45.11355782214265	6708961.0	5981494.0	89.16	727467.0	10.84	SRX9848503_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6708961.0	0.0	24-150	47.0	9.978234677116792	149.02163732953582	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	2.6	6709074	1995512	6709074	1006361100	343254	1003217402	0.3123827023918154			0.6469	0.0314	0.3217
SRX9848504	6538139	3328194	543	581499	0	0	0	0	3328	0	0	0	0	2352468	270029	2078	50.904301667492845	6538139.0	5956640.0	91.11	581499.0	8.89	SRX9848504_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6538139.0	0.0	20-150	48.0	10.39459317442786	148.9959436469613	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	6538182	1966043	6538182	980727300	311393	977643221	0.3144685581812599			0.6187	0.0344	0.3469
SRX9848505	6629385	3362463	264	611223	0	0	0	0	2735	0	0	0	0	2370611	279970	2119	50.7205872037904	6629385.0	6018162.0	90.78	611223.0	9.22	SRX9848505_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6629385.0	0.0	30-150	47.0	10.451831146064656	149.0182492041117	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	2.6	6629439	2081238	6629439	994415850	192323	991258168	0.3175413988021208			0.6134	0.0355	0.3511
