Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERX5015785	2.8079266745777156	936372	98.43	32824233.0	0.47782524437498286	95.74101809600694	52.0	75.30405153593144	18.181818181818183	33347452.0
ERX5015786	2.8067089095396427	836485	98.52	29361038.0	0.48216728805482195	95.68399655228771	53.0	75.3107311314226	18.181818181818183	29803055.0
ERX5015787	7.110786117579244	2098611	98.38	29034867.0	0.4844338203018575	93.87222712119238	52.0	75.28928041566404	20.0	29513066.0
ERX5015788	5.362765836177416	1446151	98.62	26593713.0	0.48300065192612335	94.3076018497014	53.0	75.30763205062397	18.181818181818183	26966514.0
ERX5015789	6.871251647431101	1936700	98.3	27705149.0	0.5002187915667474	94.32785624784309	52.0	75.27078858744245	18.181818181818183	28185549.0
ERX5015790	7.192319663813568	2167453	98.18	29585792.0	0.47105443329759383	94.16577001278941	52.0	75.32053082627027	18.181818181818183	30135660.0
ERX5015791	5.339957762993061	1597423	98.61	29497252.0	0.4966516053954616	94.31945217496582	52.0	75.16935796239453	18.181818181818183	29914525.0
ERX5015792	4.822842560624284	1035746	98.54	21162104.0	0.474750382639999	94.62050496826865	52.0	75.32100670702488	18.181818181818183	21475841.0
ERX5015793	5.079301927223556	1296321	98.55	25152511.0	0.47358383687036465	94.42040604384515	52.0	75.28267955539059	20.0	25521637.0
ERX5015794	4.7246736422919895	1334354	98.53	27827298.0	0.48339689901276883	94.7475510011263	52.0	75.26028031693087	18.181818181818183	28242247.0
