Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
ERX5015785	33347452	936372	30411925	523219	0	0	0	0	0	0	0	0	0	1418099	57568	269	2.807926674577716	33347452.0	32824233.0	98.43	523219.0	1.57	ERX5015785_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33347452.0	0.0	20-76	52.0	4.2589819039930665	75.30405153593144	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	33347666	7950311	33347666	2530206418	1559747	2518116453	0.4778252443749828	0.1397	0.4565	0.4038
ERX5015786	29803055	836485	27156468	442017	0	0	0	0	0	0	0	0	0	1321049	46787	249	2.8067089095396427	29803055.0	29361038.0	98.52	442017.0	1.48	ERX5015786_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29803055.0	0.0	20-76	53.0	4.316003447712296	75.3107311314226	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	29803336	7146583	29803336	2261507006	1403479	2250602759	0.4821672880548219	0.1425	0.4327	0.4248
ERX5015787	29513066	2098611	25995591	478199	0	0	0	0	0	0	0	0	0	817770	122202	693	7.110786117579244	29513066.0	29034867.0	98.38	478199.0	1.62	ERX5015787_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29513066.0	0.0	20-76	52.0	6.1277728788076224	75.28928041566404	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	2.6	29513698	7168469	29513698	2239104403	1440829	2228257424	0.4844338203018575	0.1455	0.3859	0.4687
ERX5015788	26966514	1446151	24508580	372801	0	0	0	0	0	0	0	0	0	558344	80048	590	5.362765836177416	26966514.0	26593713.0	98.62	372801.0	1.38	ERX5015788_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26966514.0	0.0	20-76	53.0	5.692398150298608	75.30763205062397	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	26966757	6467397	26966757	2046302414	1343478	2036418760	0.4830006519261233	0.1384	0.3757	0.4859
ERX5015789	28185549	1936700	24818174	480400	0	0	0	0	0	0	0	0	0	836311	113423	541	6.871251647431101	28185549.0	27705149.0	98.3	480400.0	1.7	ERX5015789_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28185549.0	0.0	20-76	52.0	5.672143752156912	75.27078858744245	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	28185785	6915642	28185785	2138208556	1533879	2127512835	0.5002187915667474	0.145	0.3891	0.4658
ERX5015790	30135660	2167453	26653991	549868	0	0	0	0	0	0	0	0	0	634461	129216	671	7.192319663813568	30135660.0	29585792.0	98.18	549868.0	1.82	ERX5015790_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30135660.0	0.0	20-76	52.0	5.8342299872105885	75.32053082627027	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	30135916	7300038	30135916	2287044392	1328034	2276271168	0.4710544332975938	0.1341	0.3891	0.4768
ERX5015791	29914525	1597423	26176818	417273	0	0	0	0	0	0	0	0	0	1628206	94284	521	5.339957762993061	29914525.0	29497252.0	98.61	417273.0	1.39	ERX5015791_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29914525.0	0.0	20-76	52.0	5.680547825034184	75.16935796239453	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	29915007	7359529	29915007	2266323088	1344205	2255067358	0.4966516053954616	0.145	0.3782	0.4768
ERX5015792	21475841	1035746	19652696	313737	0	0	0	0	0	0	0	0	0	411403	61893	366	4.822842560624284	21475841.0	21162104.0	98.54	313737.0	1.46	ERX5015792_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21475841.0	0.0	20-76	52.0	5.379495031731345	75.32100670702488	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	21475958	5123931	21475958	1629827649	1046442	1622090036	0.474750382639999	0.1484	0.3775	0.4741
ERX5015793	25521637	1296321	23192797	369126	0	0	0	0	0	0	0	0	0	590227	72732	434	5.079301927223556	25521637.0	25152511.0	98.55	369126.0	1.45	ERX5015793_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25521637.0	0.0	20-76	52.0	5.579593956154852	75.28267955539059	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	2.6	25521877	6066122	25521877	1935786293	1157512	1926618722	0.4735838368703646	0.1231	0.4276	0.4492
ERX5015794	28242247	1334354	25497638	414949	0	0	0	0	0	0	0	0	0	915779	79094	433	4.7246736422919895	28242247.0	27827298.0	98.53	414949.0	1.47	ERX5015794_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28242247.0	0.0	20-76	52.0	5.252448998873707	75.26028031693087	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	28242523	6803355	28242523	2141768187	1316405	2131414946	0.4833968990127688	0.1275	0.4314	0.4411
