Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX11490741	9321772	3888134	218723	1440942	0	0	0	0	0	0	0	0	0	3253670	518256	2047	41.71024564857412	9321772.0	7880830.0	84.54	1440942.0	15.46	SRX11490741_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9321772.0	0.0	20-74	47.0	44.40920115741541	67.83974677775856	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	10458331	4031515	10458331	708117372	4479094	636693908	10.086387769060408	0.4769	0.0718	0.4513
SRX11490742	7656014	2832699	164185	1435009	0	0	0	0	0	0	0	0	0	2814673	407883	1565	36.99965804660232	7656014.0	6221005.0	81.26	1435009.0	18.74	SRX11490742_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7656014.0	0.0	20-74	48.0	48.6473516613359	67.50315399109772	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	9758065	4738398	9758065	652808236	7364400	522205451	20.00630166681904	0.4503	0.0812	0.4685
SRX11490743	7218556	2390175	150190	1434690	0	0	0	0	0	0	0	0	0	2812614	429375	1512	33.111539205347995	7218556.0	5783866.0	80.12	1434690.0	19.88	SRX11490743_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7218556.0	0.0	20-74	47.0	54.07536571245145	66.25664191009948	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass	2.6	8781926	3942866	8781926	578932814	5202112	482460442	16.66382862865327	0.4702	0.0889	0.4409
SRX11490744	7876357	2860020	150480	1533652	0	0	0	0	0	0	0	0	0	2836962	493444	1799	36.31145718763128	7876357.0	6342705.0	80.53	1533652.0	19.47	SRX11490744_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7876357.0	0.0	20-74	48.0	53.97885186919961	66.91305815620089	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass	2.6	8991285	3593713	8991285	601715694	4066412	531000874	11.752198040558335	0.4627	0.0866	0.4507
SRX11490745	9255201	3368925	138727	1733654	0	0	0	0	0	0	0	0	0	3429237	582652	2006	36.400343979563495	9255201.0	7521547.0	81.27	1733654.0	18.73	SRX11490745_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9255201.0	0.0	20-74	47.0	52.956179120111614	66.08537599561588	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass	2.6	10326673	3931049	10326673	684633872	4030034	616129248	10.00602319015849	0.4759	0.0866	0.4376
SRX11490746	9449887	3519961	176638	1497370	0	0	0	0	0	0	0	0	0	3677553	576355	2010	37.24870995811907	9449887.0	7952517.0	84.15	1497370.0	15.85	SRX11490746_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9449887.0	0.0	20-74	48.0	47.59024626492534	66.71192999450682	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	10139405	3648193	10139405	680526119	3368628	634670352	6.738281708773032	0.4642	0.0808	0.455
SRX11490747	8917492	2579474	223008	1246953	0	0	0	0	0	0	0	0	0	4459056	407724	1277	28.92600296137076	8917492.0	7670539.0	86.02	1246953.0	13.98	SRX11490747_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8917492.0	0.0	20-74	48.0	34.65386717616485	68.32371590577262	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	10197480	4033791	10197480	695455771	4750715	613990758	11.713902795408682	0.6067	0.0597	0.3336
SRX11490748	9007198	2954258	159978	1806978	0	0	0	0	0	0	0	0	0	3620086	464094	1804	32.79885709185032	9007198.0	7200220.0	79.94	1806978.0	20.06	SRX11490748_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9007198.0	0.0	20-74	47.0	51.6053113873252	67.12346614341108	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass	2.6	9943855	3808331	9943855	670641760	3827932	608959310	9.197525963787283	0.4899	0.0819	0.4282
SRX11490749	7644471	2346762	109366	1527184	0	0	0	0	0	0	0	0	0	3247130	412539	1490	30.69881486894253	7644471.0	6117287.0	80.02	1527184.0	19.98	SRX11490749_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7644471.0	0.0	20-74	47.0	51.058441301001565	66.45212467939247	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass	2.6	9210187	4098390	9210187	609187227	5161906	512320964	15.90090184211955	0.4923	0.0847	0.423
SRX11490750	8704083	2760208	102196	1736198	0	0	0	0	0	0	0	0	0	3665130	438630	1721	31.7116461320509	8704083.0	6967885.0	80.05	1736198.0	19.95	SRX11490750_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8704083.0	0.0	20-74	48.0	52.85610729029448	67.48522779481767	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass	2.6	10273302	4400667	10273302	690210292	5308418	592007231	14.227991401785705	0.4596	0.1054	0.435
