Sample	se_sense	se_antisense	failed
SRX13465624	0.0043	0.0899	0.9058
SRX13465625	0.0037	0.0901	0.9062
SRX13465626	0.0033	0.0874	0.9093
SRX13465627	0.0027	0.081	0.9163
SRX13465628	0.0032	0.0917	0.9051
SRX13465629	0.0031	0.0828	0.9142
SRX13465630	0.0025	0.0779	0.9196
SRX13465631	0.0028	0.0844	0.9128
SRX13465632	0.0028	0.0811	0.9161
SRX13465633	0.0038	0.0753	0.9209
SRX13465634	0.0036	0.084	0.9124
SRX13465635	0.0041	0.0836	0.9123
SRX13465636	0.0035	0.077	0.9195
SRX13465637	0.0035	0.0937	0.9028
SRX13465638	0.0033	0.081	0.9157
SRX13465639	0.003	0.07	0.927
SRX13465640	0.003	0.078	0.919
SRX13465641	0.0032	0.0751	0.9217
SRX13465642	0.0038	0.0729	0.9233
SRX13465643	0.0032	0.0834	0.9134
SRX13465644	0.0026	0.0715	0.9259
SRX13465645	0.0027	0.0832	0.9141
SRX13465646	0.0027	0.0882	0.9091
SRX13465647	0.0026	0.0747	0.9228
SRX13465648	0.0023	0.0724	0.9252
SRX13465649	0.0029	0.0814	0.9157
SRX13465650	0.0026	0.0785	0.9189
SRX13465651	0.004	0.0908	0.9052
SRX13465652	0.0051	0.0865	0.9085
SRX13465653	0.0046	0.0897	0.9057
SRX13465654	0.0032	0.0875	0.9093
SRX13465655	0.0036	0.0874	0.909
SRX13465656	0.0049	0.0628	0.9323
SRX13465657	0.0032	0.0875	0.9093
SRX13465658	0.004	0.0829	0.9131
SRX13465659	0.0038	0.0818	0.9144
SRX13465660	0.0038	0.0864	0.9098
SRX13465661	0.0035	0.0826	0.9139
SRX13465662	0.0043	0.0819	0.9137
SRX13465663	0.0025	0.0744	0.9231
SRX13465664	0.0026	0.078	0.9194
SRX13465665	0.0028	0.0781	0.9191
SRX13465666	0.0036	0.0848	0.9115
SRX13465667	0.0031	0.0707	0.9262
SRX13465668	0.0031	0.079	0.9179
