Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX13465624	9947789	102570	9681248	19567	0	0	0	0	0	0	0	0	0	138276	6086	42	1.0310833894848392	9947789.0	9928222.0	99.8	19567.0	0.2	SRX13465624_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9947789.0	0.0	20-51	53.0	3.346102517967051	50.59662624528928	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	10013007	527606	10013007	506456871	2545324	503324886	0.6184109998973634	0.0043	0.0899	0.9058
SRX13465625	9859255	91178	9614052	22414	0	0	0	0	0	0	0	0	0	126590	4980	41	0.9247960418916034	9859255.0	9836841.0	99.77	22414.0	0.23	SRX13465625_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9859255.0	0.0	20-51	53.0	3.2729083257909344	50.60815223868335	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	9936176	513153	9936176	502457804	2931145	498958855	0.6963667341108707	0.0037	0.0901	0.9062
SRX13465626	12402377	116888	12103315	24655	0	0	0	0	0	0	0	0	0	150542	6929	48	0.942464496926678	12402377.0	12377722.0	99.8	24655.0	0.2	SRX13465626_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12402377.0	0.0	20-51	53.0	2.9781952705488948	50.61540283769797	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12427128	640869	12427128	629650439	1189932	627751715	0.301552080709341	0.0033	0.0874	0.9093
SRX13465627	17298614	195428	16836565	42962	0	0	0	0	0	0	0	0	0	215001	8580	78	1.129732127672194	17298614.0	17255652.0	99.75	42962.0	0.25	SRX13465627_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17298614.0	0.0	20-51	53.0	2.305275951407277	50.61605340173496	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	17430547	911189	17430547	881542385	4953560	875588078	0.6754419414558269	0.0027	0.081	0.9163
SRX13465628	14585929	149730	14166390	58473	0	0	0	0	0	0	0	0	0	204455	6820	61	1.0265372880945738	14585929.0	14527456.0	99.6	58473.0	0.4	SRX13465628_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14585929.0	0.0	20-51	53.0	3.404717598311585	50.62196614284904	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	14645150	754307	14645150	741567043	2370429	738368725	0.4312918205023304	0.0032	0.0917	0.9051
SRX13465629	9475209	97534	9244979	18711	0	0	0	0	0	0	0	0	0	109326	4611	48	1.0293598800828565	9475209.0	9456498.0	99.8	18711.0	0.2	SRX13465629_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9475209.0	0.0	20-51	53.0	3.107773977256114	50.61625690789512	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	9517613	479735	9517613	481855709	1725471	479599842	0.4681623477454741	0.0031	0.0828	0.9142
SRX13465630	18578808	202896	18078231	89599	0	0	0	0	0	0	0	0	0	196740	11247	95	1.0920829797046183	18578808.0	18489209.0	99.52	89599.0	0.48	SRX13465630_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18578808.0	0.0	20-51	53.0	2.18553962261034	50.61295471700876	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	18764350	985751	18764350	948295128	6879609	940328792	0.8400692742987498	0.0025	0.0779	0.9196
SRX13465631	12202427	131042	11883837	27644	0	0	0	0	0	0	0	0	0	152277	7580	47	1.073901118195585	12202427.0	12174783.0	99.77	27644.0	0.23	SRX13465631_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12202427.0	0.0	20-51	53.0	2.9286631125312166	50.6112752815485	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	12271736	641468	12271736	620991317	2702788	617580718	0.5492184683799692	0.0028	0.0844	0.9128
SRX13465632	17559640	175790	17137066	38390	0	0	0	0	0	0	0	0	0	195637	12694	63	1.0011025282978467	17559640.0	17521250.0	99.78	38390.0	0.22	SRX13465632_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17559640.0	0.0	20-51	52.0	2.8934935103659285	50.63458516233818	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	2.6	17618064	894444	17618064	892495349	2373960	889125448	0.3775819116341412	0.0028	0.0811	0.9161
SRX13465633	12987665	187631	12595495	37423	0	0	0	0	0	0	0	0	0	156678	10328	110	1.4446861695308586	12987665.0	12950242.0	99.71	37423.0	0.29	SRX13465633_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12987665.0	0.0	20-51	52.0	3.1176768305981737	50.61792878088556	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	13050334	665881	13050334	660603676	2457686	657409099	0.4835845024876913	0.0038	0.0753	0.9209
