# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "0" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "DRX114944_cds.txt" "DRX114944.bam" 
Geneid	Chr	Start	End	Strand	Length	DRX114944.bam
SYNPCC7002_RS15225	NC_010474.1	1	588	+	588	247
SYNPCC7002_RS15230	NC_010474.1	588	1343	+	756	257
SYNPCC7002_RS15235	NC_010474.1	1441	2016	+	576	304
SYNPCC7002_RS15240	NC_010474.1	2013	2540	-	528	107
SYNPCC7002_RS15245	NC_010474.1	2711	3457	-	747	39
SYNPCC7002_RS15250	NC_010474.1	3706	6204	-	2499	314
SYNPCC7002_RS15255	NC_010474.1	6306	7334	-	1029	132
SYNPCC7002_RS15260	NC_010474.1	7700	10483	-	2784	158
SYNPCC7002_RS15265	NC_010474.1	10559	10843	-	285	61
SYNPCC7002_RS15270	NC_010474.1	11745	12377	-	633	170
SYNPCC7002_RS15275	NC_010474.1	12511	14241	-	1731	165
SYNPCC7002_RS15280	NC_010474.1	14840	17764	+	2925	555
SYNPCC7002_RS15285	NC_010474.1	17785	18378	-	594	84
SYNPCC7002_RS15290	NC_010474.1	18409	19233	-	825	21
SYNPCC7002_RS15295	NC_010474.1	19256	20653	-	1398	29
SYNPCC7002_RS15300	NC_010474.1	20667	21506	-	840	16
SYNPCC7002_RS16840	NC_010474.1	21820	21960	-	141	5
SYNPCC7002_RS15305	NC_010474.1	22322	23236	-	915	43
SYNPCC7002_RS15310	NC_010474.1	23404	25845	-	2442	172
SYNPCC7002_RS15315	NC_010474.1	25893	27110	-	1218	27
SYNPCC7002_RS15320	NC_010474.1	27112	28413	-	1302	58
SYNPCC7002_RS15325	NC_010474.1	28432	29031	-	600	24
SYNPCC7002_RS15330	NC_010474.1	29024	30868	-	1845	66
SYNPCC7002_RS15335	NC_010474.1	30865	32373	-	1509	58
SYNPCC7002_RS15340	NC_010474.1	32419	33822	-	1404	2194
SYNPCC7002_RS15345	NC_010474.1	34151	34945	+	795	55
SYNPCC7002_RS15350	NC_010474.1	35127	36023	-	897	33
SYNPCC7002_RS15355	NC_010474.1	36130	36615	+	486	35
SYNPCC7002_RS15360	NC_010474.1	36686	37189	+	504	78
SYNPCC7002_RS15365	NC_010474.1	37260	37871	-	612	216
SYNPCC7002_RS15370	NC_010474.1	37991	38581	-	591	56
SYNPCC7002_RS15375	NC_010474.1	38591	39691	-	1101	353
SYNPCC7002_RS17145	NC_010474.1	39771	39929	-	159	47
SYNPCC7002_RS15385	NC_010474.1	40099	40464	-	366	98
SYNPCC7002_RS15390	NC_010474.1	40448	40774	-	327	58
SYNPCC7002_RS15395	NC_010474.1	40826	42076	-	1251	193
SYNPCC7002_RS15400	NC_010474.1	42085	42759	-	675	65
SYNPCC7002_RS15405	NC_010474.1	43051	43392	+	342	70
SYNPCC7002_RS15410	NC_010474.1	43601	44161	-	561	187
SYNPCC7002_RS16270	NC_010474.1	44300	44944	+	645	74
SYNPCC7002_RS15420	NC_010474.1	44949	46349	+	1401	386
SYNPCC7002_RS17150	NC_010474.1	46499	46819	+	321	19
SYNPCC7002_RS17155	NC_010474.1	46856	47485	+	630	16
SYNPCC7002_RS15435	NC_010474.1	47506	47880	+	375	1
SYNPCC7002_RS15440	NC_010474.1	47892	48365	+	474	19
SYNPCC7002_RS15445	NC_010474.1	48966	49475	-	510	194
SYNPCC7002_RS17160	NC_010474.1	49492	49738	-	247	91
SYNPCC7002_RS17025	NC_010474.1	49950	50120	-	171	16
SYNPCC7002_RS15450	NC_010474.1	50213	50458	-	246	29
SYNPCC7002_RS15455	NC_010474.1	50455	51051	-	597	79
SYNPCC7002_RS16850	NC_010474.1	51282	51647	+	366	12
SYNPCC7002_RS15465	NC_010474.1	51717	52601	+	885	104
SYNPCC7002_RS15470	NC_010474.1	52785	53093	+	309	253
SYNPCC7002_RS15475	NC_010474.1	53110	53328	+	219	96
SYNPCC7002_RS15480	NC_010474.1	53329	53724	+	396	141
SYNPCC7002_RS15485	NC_010474.1	54201	55307	-	1107	54
SYNPCC7002_RS15490	NC_010474.1	55369	55941	-	573	33
