# Program:featureCounts v2.0.1; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "8" "-s" "0" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX14927075_cds.txt" "SRX14927075.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX14927075.bam
SGL_RS00010	NC_005229.1	574	1017	-	444	5769
SGL_RS00015	NC_005229.1	1136	1540	-	405	3569
SGL_RS20055	NC_005229.1	1515	1700	-	186	1420
SGL_RS00020	NC_005229.1	2528	13921	+	11394	108542
SGL_RS00025	NC_005229.1	14340	14639	-	300	1679
SGL_RS00030	NC_005229.1	14579	15133	-	555	5735
SGL_RS00035	NC_005229.1	15233	15481	-	249	3877
SGL_RS00040	NC_005229.1	15996	16235	+	240	2729
SGL_RS00045	NC_005229.1	16603	17166	+	564	6905
SGL_RS00050	NC_005229.1	17218	17439	+	222	3746
SGL_RS00055	NC_005229.1	17880	18800	+	921	15135
SGL_RS00060	NC_005229.1	18822	20513	+	1692	22619
SGL_RS00065	NC_005229.1	20523	21479	-	957	21478
SGL_RS00070	NC_005229.1	21479	21760	-	282	3451
SGL_RS00075	NC_005229.1	21843	23219	+	1377	26832
SGL_RS00080	NC_005229.1	23255	23572	+	318	3678
SGL_RS00085	NC_005229.1	23562	23903	+	342	3637
SGL_RS00090	NC_005229.1	23890	24063	+	174	1540
SGL_RS00095	NC_005229.1	24181	24462	+	282	3668
SGL_RS00100	NC_005229.1	24473	24787	+	315	4152
SGL_RS00105	NC_005229.1	24798	25955	+	1158	11919
SGL_RS00110	NC_005229.1	25994	27175	+	1182	18066
SGL_RS00115	NC_005229.1	27175	27735	+	561	10991
SGL_RS00120	NC_005229.1	27859	28053	-	195	3193
SGL_RS00125	NC_005229.1	28096	30168	-	2073	27644
SGL_RS18470	NC_005229.1	30281	30574	-	294	2853
SGL_RS19675	NC_005229.1	30677	31183	-	507	4102
SGL_RS00135	NC_005229.1	31397	32062	+	666	9371
SGL_RS00140	NC_005229.1	32015	32836	-	822	8098
SGL_RS00145	NC_005229.1	32865	33350	-	486	3991
SGL_RS00150	NC_005229.1	33422	33961	-	540	7176
SGL_RS00155	NC_005229.1	34001	34624	-	624	8122
SGL_RS18475	NC_005229.1	34736	35005	-	270	3813
SGL_RS00160	NC_005229.1	35079	36365	-	1287	9318
SGL_RS00165	NC_005229.1	36483	36866	+	384	3765
SGL_RS00170	NC_005229.1	36906	38144	+	1239	12267
