# Program:featureCounts v2.0.1; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "14" "-s" "1" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX156372_cds.txt" "SRX156372.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX156372.bam
SYNPCC7002_RS14480	NC_010479.1	1	639	+	639	0
SYNPCC7002_RS14485	NC_010479.1	633	944	+	312	0
SYNPCC7002_RS14490	NC_010479.1	1989	2357	-	369	0
SYNPCC7002_RS14495	NC_010479.1	2617	2961	+	345	90
SYNPCC7002_RS14500	NC_010479.1	2976	3173	+	198	0
SYNPCC7002_RS14505	NC_010479.1	3239	3790	+	552	1
SYNPCC7002_RS14510	NC_010479.1	3864	4205	+	342	0
SYNPCC7002_RS16790	NC_010479.1	4280	4450	+	171	0
SYNPCC7002_RS14515	NC_010479.1	4456	4884	+	429	54
SYNPCC7002_RS14520	NC_010479.1	4946	5176	+	231	0
SYNPCC7002_RS14525	NC_010479.1	5262	5519	+	258	1
SYNPCC7002_RS14530	NC_010479.1	5674	6717	+	1044	0
SYNPCC7002_RS16510	NC_010479.1	6822	7634	+	813	0
SYNPCC7002_RS16795	NC_010479.1	7603	7932	+	330	1
SYNPCC7002_RS14545	NC_010479.1	8023	8283	+	261	0
SYNPCC7002_RS14550	NC_010479.1	8678	9439	+	762	1
SYNPCC7002_RS14555	NC_010479.1	9535	10239	+	705	0
SYNPCC7002_RS14560	NC_010479.1	10315	11349	+	1035	2
SYNPCC7002_RS16560	NC_010479.1	11421	12024	+	604	1
SYNPCC7002_RS14570	NC_010479.1	12048	13064	-	1017	5
SYNPCC7002_RS14575	NC_010479.1	13665	14384	-	720	1
SYNPCC7002_RS14580	NC_010479.1	14467	14787	-	321	1
SYNPCC7002_RS14585	NC_010479.1	14784	15134	-	351	1
SYNPCC7002_RS16900	NC_010479.1	15376	16317	+	942	0
SYNPCC7002_RS16905	NC_010479.1	16283	16798	+	516	0
SYNPCC7002_RS16805	NC_010479.1	17276	17533	+	258	1
SYNPCC7002_RS16810	NC_010479.1	17619	17906	+	288	0
SYNPCC7002_RS14605	NC_010479.1	17984	18850	+	867	0
SYNPCC7002_RS14610	NC_010479.1	19345	20457	+	1113	1
SYNPCC7002_RS14615	NC_010479.1	20447	21352	+	906	2
SYNPCC7002_RS14620	NC_010479.1	21353	23419	+	2067	160
SYNPCC7002_RS14625	NC_010479.1	23503	24381	+	879	1
SYNPCC7002_RS14630	NC_010479.1	24413	25027	+	615	0
SYNPCC7002_RS14635	NC_010479.1	25065	25676	+	612	1
SYNPCC7002_RS14640	NC_010479.1	25744	26187	+	444	1
SYNPCC7002_RS14645	NC_010479.1	26337	27428	+	1092	2
SYNPCC7002_RS14650	NC_010479.1	27703	28533	-	831	0
SYNPCC7002_RS14655	NC_010479.1	29469	32588	+	3120	7
SYNPCC7002_RS14660	NC_010479.1	32592	32846	+	255	0
SYNPCC7002_RS14665	NC_010479.1	32839	33336	+	498	0
SYNPCC7002_RS14670	NC_010479.1	33340	36153	+	2814	6
SYNPCC7002_RS14675	NC_010479.1	36197	38071	+	1875	2
SYNPCC7002_RS14225	NC_010477.1	1	705	+	705	2
SYNPCC7002_RS16260	NC_010477.1	698	1030	+	333	0
SYNPCC7002_RS14235	NC_010477.1	1154	2602	+	1449	1
SYNPCC7002_RS14240	NC_010477.1	2599	3795	+	1197	0
SYNPCC7002_RS14245	NC_010477.1	3806	5224	+	1419	3
SYNPCC7002_RS14250	NC_010477.1	5332	7638	+	2307	10
SYNPCC7002_RS14255	NC_010477.1	7718	8632	-	915	2
SYNPCC7002_RS14260	NC_010477.1	8908	9480	-	573	3
SYNPCC7002_RS14265	NC_010477.1	9658	11073	-	1416	3
SYNPCC7002_RS14270	NC_010477.1	11077	13002	-	1926	4
SYNPCC7002_RS14275	NC_010477.1	13101	13253	-	153	0
SYNPCC7002_RS14280	NC_010477.1	13660	14076	-	417	1
SYNPCC7002_RS14285	NC_010477.1	14073	14303	-	231	0
SYNPCC7002_RS14290	NC_010477.1	14473	14724	-	252	0
SYNPCC7002_RS14295	NC_010477.1	14721	14987	-	267	3
SYNPCC7002_RS14300	NC_010477.1	15025	15267	-	243	0
SYNPCC7002_RS14305	NC_010477.1	15264	15941	-	678	1
SYNPCC7002_RS14680	NC_010480.1	1	639	+	639	1
SYNPCC7002_RS17250	NC_010480.1	692	1531	+	840	2
SYNPCC7002_RS14690	NC_010480.1	1786	3441	-	1656	6
SYNPCC7002_RS17255	NC_010480.1	3492	3614	-	123	0
SYNPCC7002_RS14695	NC_010480.1	4037	4468	+	432	0
SYNPCC7002_RS14700	NC_010480.1	4471	4794	+	324	0
SYNPCC7002_RS14705	NC_010480.1	4808	5257	+	450	1
SYNPCC7002_RS14710	NC_010480.1	5559	8228	+	2670	2
SYNPCC7002_RS14715	NC_010480.1	8228	11455	+	3228	6
SYNPCC7002_RS14720	NC_010480.1	11476	11820	-	345	0
SYNPCC7002_RS14725	NC_010480.1	11824	12075	-	252	0
SYNPCC7002_RS16815	NC_010480.1	12167	12313	-	147	0
SYNPCC7002_RS14730	NC_010480.1	12480	12719	-	240	0
SYNPCC7002_RS14735	NC_010480.1	12716	12925	-	210	0
SYNPCC7002_RS14740	NC_010480.1	13227	14627	-	1401	223
SYNPCC7002_RS16265	NC_010480.1	14632	15276	-	645	0
SYNPCC7002_RS14750	NC_010480.1	15415	15975	+	561	0
SYNPCC7002_RS17020	NC_010480.1	16122	16295	+	174	0
SYNPCC7002_RS14755	NC_010480.1	16276	19476	+	3201	1
SYNPCC7002_RS14760	NC_010480.1	19638	20066	+	429	1
SYNPCC7002_RS14765	NC_010480.1	20087	20434	+	348	0
SYNPCC7002_RS14770	NC_010480.1	20500	20862	+	363	0
SYNPCC7002_RS14775	NC_010480.1	21037	21402	+	366	0
SYNPCC7002_RS14780	NC_010480.1	21685	24849	+	3165	2
SYNPCC7002_RS14785	NC_010480.1	24955	25269	+	315	0
SYNPCC7002_RS14790	NC_010480.1	25282	25668	+	387	0
SYNPCC7002_RS14795	NC_010480.1	25703	26128	+	426	2
SYNPCC7002_RS14800	NC_010480.1	26116	26451	+	336	0
SYNPCC7002_RS14805	NC_010480.1	26519	26758	+	240	1
SYNPCC7002_RS14810	NC_010480.1	26745	27167	+	423	1
SYNPCC7002_RS14815	NC_010480.1	27168	27563	-	396	1
SYNPCC7002_RS14820	NC_010480.1	27564	27803	-	240	1
SYNPCC7002_RS14825	NC_010480.1	27841	31176	+	3336	3
SYNPCC7002_RS14830	NC_010480.1	31342	31797	+	456	0
SYNPCC7002_RS14835	NC_010480.1	31909	32721	-	813	0
SYNPCC7002_RS14840	NC_010480.1	32744	33412	-	669	3
SYNPCC7002_RS14845	NC_010480.1	33430	35127	-	1698	5
SYNPCC7002_RS14850	NC_010480.1	35204	35611	-	408	0
SYNPCC7002_RS14855	NC_010480.1	35841	37004	-	1164	0
SYNPCC7002_RS14860	NC_010480.1	36997	37896	-	900	2
SYNPCC7002_RS14865	NC_010480.1	37886	39022	-	1137	1
SYNPCC7002_RS14870	NC_010480.1	39162	39776	-	615	0
SYNPCC7002_RS14875	NC_010480.1	39808	40686	-	879	5
SYNPCC7002_RS14880	NC_010480.1	40769	42829	-	2061	6
SYNPCC7002_RS14885	NC_010480.1	42898	44364	-	1467	14
SYNPCC7002_RS14890	NC_010480.1	44557	46503	-	1947	2
SYNPCC7002_RS14895	NC_010480.1	46523	46918	-	396	0
SYNPCC7002_RS14900	NC_010480.1	46968	47765	-	798	1
SYNPCC7002_RS14905	NC_010480.1	47828	48934	-	1107	0
SYNPCC7002_RS14910	NC_010480.1	48947	51898	-	2952	7
SYNPCC7002_RS14915	NC_010480.1	52195	52533	-	339	1
SYNPCC7002_RS14920	NC_010480.1	52530	52754	-	225	0
SYNPCC7002_RS14925	NC_010480.1	52757	53458	-	702	0
SYNPCC7002_RS16570	NC_010480.1	53531	53866	-	336	0
SYNPCC7002_RS14940	NC_010480.1	54224	54454	-	231	0
SYNPCC7002_RS14945	NC_010480.1	61478	61759	-	282	1
SYNPCC7002_RS14950	NC_010480.1	61756	62742	-	987	3
SYNPCC7002_RS14955	NC_010480.1	62739	63035	-	297	0
SYNPCC7002_RS14960	NC_010480.1	63266	63463	-	198	0
SYNPCC7002_RS14965	NC_010480.1	63783	65009	+	1227	1
SYNPCC7002_RS14970	NC_010480.1	65265	66446	-	1182	9
SYNPCC7002_RS14975	NC_010480.1	66451	67140	-	690	0
SYNPCC7002_RS14980	NC_010480.1	67166	68317	-	1152	0
SYNPCC7002_RS16825	NC_010480.1	68501	68674	-	174	3
SYNPCC7002_RS14985	NC_010480.1	68740	69135	-	396	0
SYNPCC7002_RS14990	NC_010480.1	69171	69761	-	591	0
SYNPCC7002_RS14995	NC_010480.1	69872	70324	-	453	3
SYNPCC7002_RS15000	NC_010480.1	70492	70995	-	504	0
SYNPCC7002_RS15005	NC_010480.1	70985	71281	-	297	0
SYNPCC7002_RS15010	NC_010480.1	71371	75507	-	4137	2
SYNPCC7002_RS15015	NC_010480.1	75691	77250	-	1560	6
SYNPCC7002_RS15020	NC_010480.1	77333	77842	-	510	1
SYNPCC7002_RS15025	NC_010480.1	78085	78900	+	816	0
SYNPCC7002_RS15030	NC_010480.1	79106	79834	+	729	0
SYNPCC7002_RS15035	NC_010480.1	79848	80993	+	1146	1
SYNPCC7002_RS15040	NC_010480.1	81051	81392	+	342	0
SYNPCC7002_RS17140	NC_010480.1	83088	84779	+	1692	1
SYNPCC7002_RS15050	NC_010480.1	85109	86329	+	1221	0
SYNPCC7002_RS15055	NC_010480.1	86420	86644	+	225	0
SYNPCC7002_RS15060	NC_010480.1	86641	87033	+	393	1
SYNPCC7002_RS15065	NC_010480.1	87233	87754	+	522	1
SYNPCC7002_RS15070	NC_010480.1	87760	88101	+	342	0
SYNPCC7002_RS15075	NC_010480.1	88101	90866	+	2766	6
SYNPCC7002_RS15080	NC_010480.1	90869	91585	+	717	1
SYNPCC7002_RS15085	NC_010480.1	91787	92179	-	393	11
SYNPCC7002_RS15090	NC_010480.1	92176	92403	-	228	0
SYNPCC7002_RS16830	NC_010480.1	92496	92654	-	159	0
SYNPCC7002_RS15100	NC_010480.1	92745	93254	-	510	0
SYNPCC7002_RS16575	NC_010480.1	93312	93647	-	336	0
SYNPCC7002_RS15105	NC_010480.1	93597	94094	+	498	0
SYNPCC7002_RS15110	NC_010480.1	94395	94775	-	381	0
SYNPCC7002_RS15115	NC_010480.1	94772	95095	-	324	0
SYNPCC7002_RS15120	NC_010480.1	95397	95711	-	315	0
SYNPCC7002_RS15125	NC_010480.1	95717	101701	-	5985	18
SYNPCC7002_RS15130	NC_010480.1	101758	102105	-	348	0
SYNPCC7002_RS15135	NC_010480.1	102095	102340	-	246	0
SYNPCC7002_RS15140	NC_010480.1	102358	105897	-	3540	54
SYNPCC7002_RS15145	NC_010480.1	106015	106800	+	786	5
SYNPCC7002_RS15150	NC_010480.1	106812	107984	+	1173	2
SYNPCC7002_RS15155	NC_010480.1	107981	108895	+	915	0
SYNPCC7002_RS15160	NC_010480.1	108870	111749	-	2880	2
SYNPCC7002_RS15165	NC_010480.1	111777	112040	-	264	0
SYNPCC7002_RS15170	NC_010480.1	112110	112310	+	201	1
SYNPCC7002_RS15175	NC_010480.1	112427	112822	+	396	0
SYNPCC7002_RS15180	NC_010480.1	112859	113959	+	1101	0
SYNPCC7002_RS16835	NC_010480.1	114010	114153	+	144	0
SYNPCC7002_RS15185	NC_010480.1	114228	114683	+	456	0
SYNPCC7002_RS15190	NC_010480.1	114655	114879	+	225	0
