Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
rpmB	ssr1604	318661	318897	50S ribosomal protein L28	rpmB	ssr1604
slr0909	slr0909	2784503	2785855	FkbM family methyltransferase	slr0909	slr0909
slr1939	slr1939	2239239	2241248	M48 family metalloprotease	slr1939	slr1939
dusA	sll0926	341135	342139	tRNA dihydrouridine(20/20a) synthase DusA	sll0925 // dusA	sll0925 // sll0926
sll1511	sll1511	463690	464307	hypothetical protein	sll1511	sll1511
sll1732	sll1732	938393	940240	NAD(P)H-quinone oxidoreductase subunit F	sll1732	sll1732
slr1826	slr1826	927333	927758	hypothetical protein	slr1826	slr1826
sll1660	sll1660	273802	274386	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	sll1660 // SGL_RS03150	sll1660 // SGL_RS03150
anmK	slr1179	3519398	3520561	anhydro-N-acetylmuramic acid kinase	anmK	slr1179
cas6	slr7014	13441	14229	CRISPR-associated endoribonuclease Cas6	cas2 // cas1d // cas4 // cas6 // cas5d	ssr7017 // slr7016 // slr7015 // slr7014 // slr7013
slr1909	slr1909	613102	613743	response regulator transcription factor	slr1909 // SGL_RS19335	slr1909 // SGL_RS19335
sll0051	sll0051	2600012	2600491	nucleoside deaminase	sll0051	sll0051
ffs	SGL_RS18415	1832234	1832330	signal recognition particle sRNA small type	slr1474 // ffs	slr1474 // ffs
slr1609	slr1609	487467	489377	AMP-binding protein	slr1609	slr1609
slr0272	slr0272	1525205	1526182	zinc ribbon domain-containing protein	slr0272	slr0272
SGL_RS18985	SGL_RS18985	2330587	2330724	transposase	SGL_RS18985	SGL_RS18985
ssl5113	ssl5113	105753	106043	hypothetical protein	ssl5113	ssl5113
sll7006	sll7006	3041	3364	toxin-antitoxin system HicB family antitoxin	SGL_RS00660 // sll7006	SGL_RS00660 // sll7006
slr6028	slr6028	26096	26653	siphovirus Gp157 family protein	slr6028	slr6028
SGL_RS17910	SGL_RS17910	3474468	3474704	hypothetical protein	SGL_RS17910	SGL_RS17910
sll0995	sll0995	637993	638688	Uma2 family endonuclease	sll0995	sll0995
ssr7084	ssr7084	79821	80048	hypothetical protein	ssr7084	ssr7084
sll0198	sll0198	2528160	2528735	Uma2 family endonuclease	sll0198	sll0198
gmk	slr1123	84122	84697	guanylate kinase	gmk	slr1123
slr5051	slr5051	49707	50099	hypothetical protein	slr5051	slr5051
slr0719	slr0719	2643403	2644569	pentapeptide repeat-containing protein	slr0719	slr0719
sll1672	sll1672	253125	255629	response regulator	sll1672 // sll1673	sll1672 // sll1673
SGL_RS18780	SGL_RS18780	1366773	1367015	HNH endonuclease	SGL_RS18780	SGL_RS18780
slr8038	slr8038	32698	36411	WD repeat-containing protein	slr8038	slr8038
slr1081	slr1081	384343	384975	Uma2 family endonuclease	slr1082 // slr1081	slr1082 // slr1081
sll0833	sll0833	2837795	2838910	ABC transporter permease	sll0832 // sll0833	sll0832 // sll0833
slr1188	slr1188	3529323	3529994	PspA/IM30 family protein	slr1189 // slr1188 // slr1187	slr1189 // slr1188 // slr1187
hisS	slr0357	2456935	2458278	histidine--tRNA ligase	hisS	slr0357
slr0511	slr0511	2921660	2922439	IS5 family transposase	slr0511	slr0511
cdsA	slr1369	1120643	1121524	phosphatidate cytidylyltransferase	cdsA	slr1369
slr1863	slr1863	1201494	1203014	hypothetical protein	slr1864 // slr1863	slr1864 // slr1863
sll0397	sll0397	2681894	2682547	DUF1361 domain-containing protein	sll0396 // sll0397 // sll0398	sll0396 // sll0397 // sll0398
pheS	sll0454	2629271	2630266	phenylalanine--tRNA ligase subunit alpha	pheS	sll0454
slr0936	slr0936	1998460	1999347	carboxylating nicotinate-nucleotide diphosphorylase	slr0936 // slr0935	slr0936 // slr0935
slr7032	slr7032	30352	30669	DUF86 domain-containing protein	slr7032	slr7032
ssr2781	ssr2781	3473234	3473485	hypothetical protein	ssr2781 // slr1666	ssr2781 // slr1666
slr1045	slr1045	494828	495619	ABC transporter permease	slr1045	slr1045
cofG	sll1285	710036	710977	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG	sll1283 // sll1284 // cofG	sll1283 // sll1284 // sll1285
hisN	sll1959	1410187	1410990	histidinol-phosphatase	hisC // hisN // sll1960	sll1958 // sll1959 // sll1960
sll0667	sll0667	3108819	3109761	IS701 family transposase	sll0667	sll0667
SGL_RS17705	SGL_RS17705	3426774	3427001	type II toxin-antitoxin system HicA family toxin	SGL_RS17710 // SGL_RS17705	SGL_RS17710 // SGL_RS17705
slr5085	slr5085	85149	85469	hypothetical protein	slr5085	slr5085
slr8026	slr8026	22461	22985	MarR family transcriptional regulator	slr8026	slr8026
