,gene_id,gene_name,gene_ontology
3,sll0537,sll0537,ammonium homeostasis
4,sll0537,sll0537,ammonium transmembrane transport
5,sll0601,sll0601,N-carbamoylputrescine amidase activity
6,sll0601,sll0601,putrescine biosynthetic process from arginine
7,slr1145,gltS,glutamate synthase (NADH) activity
8,slr1145,gltS,glutamate biosynthetic process
9,slr1145,gltS,ammonia assimilation cycle
10,sll1499,gltB,ammonia assimilation cycle
11,sll1499,gltB,glutamate biosynthetic process
12,sll1499,gltB,glutamate synthase activity
16,sll0171,gcvT,cytosol
17,sll0194,tatC,protein transport by the Tat complex
18,sll0194,tatC,proton motive force dependent protein transmembrane transporter activity
19,sll0194,tatC,intracellular protein transmembrane transport
20,sll0194,tatC,TAT protein transport complex
21,sll0108,sll0108,ammonium homeostasis
22,sll0108,sll0108,ammonium transmembrane transport
23,sll0100,sll0100,hydrolase activity
24,slr0827,alr,cytosol
25,slr0827,alr,pyridoxal phosphate binding
26,slr0827,alr,D-alanine biosynthetic process
27,slr0827,alr,alanine racemase activity
29,slr0623,trxA,cytoplasm
30,slr0623,trxA,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
31,sll0495,asnS,asparagine-tRNA ligase activity
32,sll0495,asnS,asparaginyl-tRNA aminoacylation
33,slr0556,slr0556,intracellular anatomical structure
34,slr0556,slr0556,pyridoxal phosphate binding
35,slr0922,pth,aminoacyl-tRNA hydrolase activity
36,sll0672,sll0672,monoatomic ion transmembrane transport
37,sll0672,sll0672,P-type ion transporter activity
51,slr0710,gdhA,cytosol
52,slr0710,gdhA,glutamate dehydrogenase (NADP+) activity
53,slr0710,gdhA,glutamate biosynthetic process
55,slr0585,argG,arginine biosynthetic process
56,slr0585,argG,argininosuccinate synthase activity
57,slr0585,argG,argininosuccinate metabolic process
58,slr0585,argG,urea cycle
59,slr0585,argG,cytoplasm
60,slr0751,slr0751,cell outer membrane
61,slr0751,slr0751,receptor-mediated virion attachment to host cell
62,sll5066,sll5066,ATP binding
63,sll5066,sll5066,negative regulation of cell division
64,sll5066,sll5066,cytosol
65,sll5066,sll5066,cytoplasmic side of plasma membrane
66,sll5066,sll5066,ATP hydrolysis activity
