## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS01880	1147.D082_04470	9.24e-142	402.0	COG1187@1|root,COG1187@2|Bacteria,1G56K@1117|Cyanobacteria,1H5N5@1142|Synechocystis	1142|Synechocystis	J	RNA pseudouridylate synthase	-	GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022613,GO:0031118,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360	5.4.99.20	ko:K06181	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2
SGL_RS01885	1148.1651653	1.15e-120	344.0	28NM6@1|root,2ZBMS@2|Bacteria,1G54A@1117|Cyanobacteria,1H5HJ@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS01890	1148.1651654	2.15e-175	488.0	COG0515@1|root,COG0515@2|Bacteria,1G1F2@1117|Cyanobacteria,1H5F9@1142|Synechocystis	1142|Synechocystis	KLT	ARM-like repeat domain, GUN4-N terminal	-	-	-	-	-	-	-	-	-	-	-	-	GUN4,GUN4_N
SGL_RS01895	1148.1651655	1.72e-271	741.0	COG1633@1|root,COG1633@2|Bacteria,1G013@1117|Cyanobacteria,1H4X5@1142|Synechocystis	1142|Synechocystis	F	Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)	-	-	1.14.13.81	ko:K04035	ko00860,ko01100,ko01110,map00860,map01100,map01110	-	R06265,R06266,R06267,R10068	RC00741,RC01491,RC01492,RC03042	ko00000,ko00001,ko01000	-	-	-	Rubrerythrin
SGL_RS01900	1148.1651656	5.06e-234	642.0	COG0451@1|root,COG0451@2|Bacteria,1G02N@1117|Cyanobacteria,1H4G0@1142|Synechocystis	1142|Synechocystis	GM	Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction	fcl	-	1.1.1.271	ko:K02377	ko00051,ko00520,ko01100,map00051,map00520,map01100	-	R05692	RC01014	ko00000,ko00001,ko01000	-	-	-	Epimerase
SGL_RS01905	1148.1651657	1.31e-268	734.0	COG1089@1|root,COG1089@2|Bacteria,1G0M4@1117|Cyanobacteria,1H55V@1142|Synechocystis	1142|Synechocystis	M	Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose	gmd	-	4.2.1.47	ko:K01711	ko00051,ko00520,ko01100,map00051,map00520,map01100	-	R00888	RC00402	ko00000,ko00001,ko01000	-	-	-	GDP_Man_Dehyd
SGL_RS01910	1148.1651658	3.34e-270	738.0	2DBBD@1|root,2Z87P@2|Bacteria,1G08A@1117|Cyanobacteria,1H597@1142|Synechocystis	1142|Synechocystis	C	Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797	1.10.3.9	ko:K02703	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	-	-	iJN678.psbA2,iJN678.psbA3	Photo_RC
SGL_RS01915	1148.1651659	0.0	1326.0	COG1166@1|root,COG1166@2|Bacteria,1G1C4@1117|Cyanobacteria,1H6F1@1142|Synechocystis	1142|Synechocystis	E	Catalyzes the biosynthesis of agmatine from arginine	-	-	4.1.1.19	ko:K01585	ko00330,ko01100,map00330,map01100	M00133	R00566	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	-	Orn_Arg_deC_N
SGL_RS01920	1148.1651660	0.0	1317.0	COG0272@1|root,COG0272@2|Bacteria,1G12K@1117|Cyanobacteria,1H4JA@1142|Synechocystis	1142|Synechocystis	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA	ligA	GO:0003674,GO:0003824,GO:0003909,GO:0003911,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006266,GO:0006281,GO:0006284,GO:0006288,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016874,GO:0016886,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051103,GO:0051716,GO:0071704,GO:0090304,GO:0140097,GO:1901360	6.5.1.2	ko:K01972	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	-	R00382	RC00005	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	BRCT,DNA_ligase_OB,DNA_ligase_ZBD,DNA_ligase_aden,HHH_2,HHH_5
SGL_RS01925	1148.1651661	1.43e-135	384.0	COG4636@1|root,COG4636@2|Bacteria,1G3SM@1117|Cyanobacteria,1H5QY@1142|Synechocystis	1142|Synechocystis	S	Putative restriction endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	Uma2
