# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "8" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "ERX3440931_cds.txt" "ERX3440931.bam" 
Geneid	Chr	Start	End	Strand	Length	ERX3440931.bam
BSU_00010	AL009126.3	410	1750	+	1341	366
BSU_00020	AL009126.3	1939	3075	+	1137	244
BSU_00030	AL009126.3	3206	3421	+	216	111
BSU_00040	AL009126.3	3437	4549	+	1113	703
BSU_00050	AL009126.3	4567	4812	+	246	91
BSU_00060	AL009126.3	4867	6783	+	1917	2030
BSU_00070	AL009126.3	6994	9459	+	2466	2466
BSU_00080	AL009126.3	14847	15794	-	948	130
BSU_00090	AL009126.3	15915	17381	+	1467	859
BSU_00100	AL009126.3	17534	18865	+	1332	61
BSU_00110	AL009126.3	19062	19946	+	885	262
BSU_00120	AL009126.3	19968	20558	+	591	306
BSU_00130	AL009126.3	20880	22157	+	1278	117
BSU_00140	AL009126.3	22496	23149	-	654	10
BSU_00150	AL009126.3	23146	23769	-	624	8
BSU_00160	AL009126.3	23868	25151	-	1284	4224
BSU_00170	AL009126.3	25221	25766	-	546	10
BSU_00180	AL009126.3	25852	26337	+	486	36
BSU_00190	AL009126.3	26814	28505	+	1692	366
BSU_00200	AL009126.3	28529	28852	+	324	258
BSU_00210	AL009126.3	28867	29463	+	597	332
BSU_00220	AL009126.3	29481	29705	+	225	100
BSU_00230	AL009126.3	29772	30035	+	264	63
BSU_00240	AL009126.3	35531	35725	+	195	532
BSU_00250	AL009126.3	35845	36459	+	615	516
BSU_00260	AL009126.3	36478	37638	+	1161	790
BSU_00270	AL009126.3	37720	39162	+	1443	448
BSU_00280	AL009126.3	39159	39797	+	639	140
BSU_00290	AL009126.3	39871	40200	+	330	179
BSU_00300	AL009126.3	40213	40653	+	441	120
BSU_00310	AL009126.3	40665	41654	+	990	461
BSU_00320	AL009126.3	41657	42484	+	828	310
BSU_00330	AL009126.3	42499	42858	+	360	325
