old_locus_tag,gene_name,accession,start,end,strand,gene_product,uniprot,operon
slr0612,slr0612,NC_000911.1,811,1494,+,pseudouridine synthase,,Op0
slr0613,slr0613,NC_000911.1,1577,2098,+,hypothetical protein,,Op1
sll0558,sll0558,NC_000911.1,2172,2873,-,GUN4 domain-containing protein,,Op2
sll1214,acsF,NC_000911.1,3192,4268,-,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,,Op3
sll1213,sll1213,NC_000911.1,4451,5389,-,GDP-L-fucose synthase,,Op4
sll1212,gmd,NC_000911.1,5534,6622,-,GDP-mannose 4%2C6-dehydratase,,Op4
slr1311,psbA,NC_000911.1,7229,8311,+,photosystem II q(b) protein,,Op5
,,NC_000911.1,8301,8450,-,hypothetical protein,,Op6
slr1312,speA,NC_000911.1,8492,10471,+,biosynthetic arginine decarboxylase,,Op7
sll1209,ligA,NC_000911.1,10622,12631,-,NAD-dependent DNA ligase LigA,,Op8
slr1315,slr1315,NC_000911.1,12782,13363,+,Uma2 family endonuclease,,Op9
slr1316,slr1316,NC_000911.1,13498,14529,+,iron ABC transporter permease,,Op10
slr1317,slr1317,NC_000911.1,14626,15675,+,iron ABC transporter permease,,Op11
slr1318,slr1318,NC_000911.1,15937,16743,+,ABC transporter ATP-binding protein,,Op12
slr1319,slr1319,NC_000911.1,16740,17687,+,iron-siderophore ABC transporter substrate-binding protein,,Op12
sll1206,sll1206,NC_000911.1,17853,20393,-,TonB-dependent receptor,,Op13
sll1205,sll1205,NC_000911.1,20615,21595,-,AraC family transcriptional regulator,,Op14
sll1204,sll1204,NC_000911.1,21838,23121,-,MFS transporter,,Op15
sll1203,sll1203,NC_000911.1,23139,24104,-,sucrase ferredoxin,,Op15
sll1202,sll1202,NC_000911.1,24101,25003,-,iron-siderophore ABC transporter substrate-binding protein,,Op15
sll1409,sll1409,NC_000911.1,25266,27839,-,TonB-dependent siderophore receptor,,Op16
sll1408,sll1408,NC_000911.1,27990,29030,-,AraC family transcriptional regulator,,Op17
sll1407,sll1407,NC_000911.1,29098,29895,-,class I SAM-dependent methyltransferase,,Op18
sll1406,sll1406,NC_000911.1,29968,32454,-,TonB-dependent siderophore receptor,,Op19
sll1405,sll1405,NC_000911.1,32524,32928,-,biopolymer transporter ExbD,,Op20
sll1404,sll1404,NC_000911.1,32912,33544,-,MotA/TolQ/ExbB proton channel family protein,,Op20
slr1484,slr1484,NC_000911.1,33891,35489,+,energy transducer TonB,,Op21
slr1485,slr1485,NC_000911.1,35566,36615,+,hypothetical protein,,Op22
slr1488,slr1488,NC_000911.1,36757,38538,+,ABC transporter ATP-binding protein,,Op23
slr1489,slr1489,NC_000911.1,38680,39636,+,AraC family transcriptional regulator,,Op24
slr1490,slr1490,NC_000911.1,39817,42363,+,TonB-dependent receptor,,Op25
slr1491,slr1491,NC_000911.1,42567,43397,+,iron-siderophore ABC transporter substrate-binding protein,,Op26
slr1492,slr1492,NC_000911.1,43511,44506,+,iron-siderophore ABC transporter substrate-binding protein,,Op27
slr1493,slr1493,NC_000911.1,44511,44885,+,DUF1636 family protein,,Op27
slr1494,slr1494,NC_000911.1,44948,46789,+,ABC transporter ATP-binding protein,,Op28
sll1401,sll1401,NC_000911.1,47007,47942,-,hypothetical protein,,Op29
sll1400,sll1400,NC_000911.1,48067,48408,-,DUF5615 family PIN-like protein,,Op30
ssl2733,ssl2733,NC_000911.1,48405,48635,-,DUF433 domain-containing protein,,Op30
sll1399,sll1399,NC_000911.1,48663,49868,-,DUF4336 domain-containing protein,,Op30
sll1398,psb28,NC_000911.1,49893,50231,-,photosystem II reaction center protein Psb28,,Op30
slr1495,slr1495,NC_000911.1,50246,51895,+,ATP-dependent DNA helicase,,Op31
,,NC_000911.1,52260,53108,-,IS630-like element ISTcSa family transposase,,Op6
sll1396,sll1396,NC_000911.1,53453,54097,-,hypothetical protein,,Op32
slr1498,hypD,NC_000911.1,54533,55657,+,hydrogenase formation protein HypD,,Op33
sll1395,rfbD,NC_000911.1,55669,56550,-,dTDP-4-dehydrorhamnose reductase,,Op34
sll1394,msrA,NC_000911.1,56556,57224,-,peptide-methionine (S)-S-oxide reductase MsrA,,Op34
sll1393,glgA,NC_000911.1,57340,58815,-,glycogen synthase GlgA,A0A6P1VBG6_9SYNC,Op35
sll1392,sll1392,NC_000911.1,59039,59650,-,TetR/AcrR family transcriptional regulator,,Op36
slr1501,slr1501,NC_000911.1,59749,60423,+,GNAT family N-acetyltransferase,,Op37
slr1113,slr1113,NC_000911.1,60524,61522,+,ABC transporter ATP-binding protein,,Op38
slr1114,slr1114,NC_000911.1,61834,63591,+,hypothetical protein,,Op39
slr1115,slr1115,NC_000911.1,63633,64361,+,class I SAM-dependent methyltransferase,,Op39
slr1116,slr1116,NC_000911.1,64393,64914,+,DinB family protein,,Op39
slr1117,slr1117,NC_000911.1,64987,65748,+,class I SAM-dependent methyltransferase,,Op40
sll1064,sll1064,NC_000911.1,65827,67533,-,metallophosphoesterase,,Op41
slr1118,slr1118,NC_000911.1,67606,68361,+,WecB/TagA/CpsF family glycosyltransferase,,Op42
sll1063,tsaB,NC_000911.1,68400,69059,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,,Op43
slr1119,slr1119,NC_000911.1,69284,69985,+,GDSL-type esterase/lipase family protein,,Op44
sll1062,sll1062,NC_000911.1,70016,70393,-,hypothetical protein,,Op45
sll1061,sll1061,NC_000911.1,70420,70935,-,hypothetical protein,,Op45
