Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX1074178	SRR2079408;SRR3138052	2016-06-26 00:00:00	2016-02-02 04:00:44	3211738	402631944	0	125	341		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/138/SRR3138052/SRR3138052.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059921	PRJNA288279		288279	SRS973014	SAMN03797563	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4-PSSP7_phage_infection_2012							no					UNIVERSITY OF FREIBURG	SRA274632		public	6CCCF426A73E250B80B5C3B4A6356C0F	16DA939F68825C73BE1F918661B818F0		
SRX1074196	SRR2079426	2016-06-26 00:00:00	2015-06-26 10:46:18	3062763	171514728	3062763	56	119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/079/SRR2079426/SRR2079426.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059921	PRJNA288279		288279	SRS973014	SAMN03797563	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4-PSSP7_phage_infection_2012							no					UNIVERSITY OF FREIBURG	SRA274632		public	6C4B1A1BBFE7894DDE1EF5DF9DE48BB3	6BF34D8BAFED426BDD7D6840FB50A09B		
SRX1074197	SRR2079427	2016-06-26 00:00:00	2015-06-26 10:46:21	2597090	145437040	2597090	56	101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/079/SRR2079427/SRR2079427.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059921	PRJNA288279		288279	SRS973014	SAMN03797563	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4-PSSP7_phage_infection_2012							no					UNIVERSITY OF FREIBURG	SRA274632		public	C926222EDE178A46E08C1800F1BD13D5	1A24A3856C93E00EAC2154BCD020BB29		
SRX1074198	SRR2079428	2016-06-26 00:00:00	2015-06-26 10:57:33	25906318	2590631800	0	100	1337		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/079/SRR2079428/SRR2079428.sralite.1		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP059921	PRJNA288279		288279	SRS973014	SAMN03797563	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4-PSSP7_phage_infection_2012							no					UNIVERSITY OF FREIBURG	SRA274632		public	AA406D808D4674E322E5FFF1FFA862D9	6495AB66972E906299CC3ED96E889618		
SRX128087	SRR441714	2012-03-07 15:24:02	2012-08-11 21:41:23	34614227	1246112172	0	36	732		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/441/SRR441714/SRR441714.sralite.1	Solexa-30971	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP011374	PRJNA86895		86895	SRS299213	SAMN00809333	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	PRJNA86895.Prochlorococus_MX							no					BI	SRA050651		public	916D88A111EE8A667F22AD30CB027771	DE4FFD9489654332B502CAC5EE8B586A		
SRX128088	SRR441715	2012-03-07 15:24:02	2012-08-11 21:41:32	36722179	1321998444	0	36	794		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/441/SRR441715/SRR441715.sralite.1	Solexa-30970	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP011374	PRJNA86895		86895	SRS299214	SAMN00809334	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	PRJNA86895.Prochlorococus_Ctrl							no					BI	SRA050651		public	858BF68663DDF6BC5D6BAC7F761D58BC	3846638D56188632CC71E22E5825AF04		
SRX14014290	SRR17853473	2022-02-02 22:12:16	2022-02-01 19:32:18	14892308	4467692400	14892308	300	1354		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17853/SRR17853473/SRR17853473.lite.1	GSM5856764	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP357956	PRJNA802663		802663	SRS11852104	SAMN25563459	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	GSM5856764							no					SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, UNIVERSITY OF CHINESE ACADEMY OF SCIENCES	SRA1365610		public	FA7C7DF74FDE3A8F575525E7749CF546	20BC3D4DDB6019555EC1C5844A07D68D		
SRX14014291	SRR17853472	2022-02-02 22:12:16	2022-02-01 19:32:12	13850403	4155120900	13850403	300	1241		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17853/SRR17853472/SRR17853472.lite.1	GSM5856765	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP357956	PRJNA802663		802663	SRS11852105	SAMN25563458	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	GSM5856765							no					SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, UNIVERSITY OF CHINESE ACADEMY OF SCIENCES	SRA1365610		public	FA7698BD0E98AE5712BFA0E04A8D7707	1FBE8B309C2675F71835E65FE6ACCE9D		
SRX14014292	SRR17853471	2022-02-02 22:12:16	2022-02-01 19:32:21	15479694	4643908200	15479694	300	1402		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17853/SRR17853471/SRR17853471.lite.1	GSM5856766	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP357956	PRJNA802663		802663	SRS11852106	SAMN25563457	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	GSM5856766							no					SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, UNIVERSITY OF CHINESE ACADEMY OF SCIENCES	SRA1365610		public	CA3243CF7295C66AFBCD7AFEA5DD8F3B	C9006112D7B534069D86E86CEBAE5A19		
SRX14014293	SRR17853470	2022-02-02 22:12:16	2022-02-01 19:33:28	14026418	4207925400	14026418	300	1250		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17853/SRR17853470/SRR17853470.lite.1	GSM5856767	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP357956	PRJNA802663		802663	SRS11852107	SAMN25563456	simple	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	GSM5856767							no					SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, UNIVERSITY OF CHINESE ACADEMY OF SCIENCES	SRA1365610		public	24F6A02CD40F15339AC088D14FF7AE49	9054B00ACA5269EA57C6043C7F4917B3		
