,gene_id,database,kegg_id
1,SGL_RS01885,KEGG_orth,-
2,SGL_RS01890,KEGG_orth,-
9,SGL_RS01925,KEGG_orth,-
15,SGL_RS01955,KEGG_orth,-
17,SGL_RS01985,KEGG_orth,-
21,SGL_RS02005,KEGG_orth,-
22,SGL_RS02015,KEGG_orth,-
24,SGL_RS02040,KEGG_orth,-
25,SGL_RS02045,KEGG_orth,-
26,SGL_RS02055,KEGG_orth,-
27,SGL_RS02060,KEGG_orth,-
28,SGL_RS02065,KEGG_orth,-
32,SGL_RS02085,KEGG_orth,-
37,SGL_RS02110,KEGG_orth,-
39,SGL_RS02125,KEGG_orth,-
41,SGL_RS02135,KEGG_orth,-
42,SGL_RS02145,KEGG_orth,-
44,SGL_RS02155,KEGG_orth,-
45,SGL_RS02160,KEGG_orth,-
47,SGL_RS02180,KEGG_orth,-
48,SGL_RS02185,KEGG_orth,-
54,SGL_RS02225,KEGG_orth,-
56,SGL_RS02235,KEGG_orth,-
59,SGL_RS02250,KEGG_orth,-
62,SGL_RS02265,KEGG_orth,-
63,SGL_RS02270,KEGG_orth,-
64,SGL_RS02275,KEGG_orth,-
75,SGL_RS02340,KEGG_orth,-
78,SGL_RS02360,KEGG_orth,-
79,SGL_RS02365,KEGG_orth,-
80,SGL_RS02370,KEGG_orth,-
81,SGL_RS02375,KEGG_orth,-
83,SGL_RS02385,KEGG_orth,-
84,SGL_RS02390,KEGG_orth,-
85,SGL_RS02395,KEGG_orth,-
87,SGL_RS02410,KEGG_orth,-
88,SGL_RS02415,KEGG_orth,-
94,SGL_RS02450,KEGG_orth,-
100,SGL_RS02485,KEGG_orth,-
102,SGL_RS02495,KEGG_orth,-
105,SGL_RS02510,KEGG_orth,-
106,SGL_RS02515,KEGG_orth,-
108,SGL_RS02525,KEGG_orth,-
109,SGL_RS02530,KEGG_orth,-
110,SGL_RS02540,KEGG_orth,-
111,SGL_RS02545,KEGG_orth,-
114,SGL_RS02560,KEGG_orth,-
115,SGL_RS02565,KEGG_orth,-
