# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "64" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX12668242_cds.txt" "SRX12668242.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX12668242.bam
SGL_RS01880	NC_000911.1	811	1494	+	684	31
SGL_RS01885	NC_000911.1	1577	2098	+	522	217
SGL_RS01890	NC_000911.1	2172	2873	-	702	71
SGL_RS01895	NC_000911.1	3192	4268	-	1077	1033
SGL_RS01900	NC_000911.1	4451	5389	-	939	162
SGL_RS01905	NC_000911.1	5534	6622	-	1089	206
SGL_RS01910	NC_000911.1	7229	8311	+	1083	207
SGL_RS19400	NC_000911.1	8301	8450	-	150	1
SGL_RS01915	NC_000911.1	8492	10471	+	1980	226
SGL_RS01920	NC_000911.1	10622	12631	-	2010	60
SGL_RS01925	NC_000911.1	12782	13363	+	582	170
SGL_RS01930	NC_000911.1	13498	14529	+	1032	71
SGL_RS01935	NC_000911.1	14626	15675	+	1050	68
SGL_RS01940	NC_000911.1	15937	16743	+	807	111
SGL_RS01945	NC_000911.1	16740	17687	+	948	104
SGL_RS01950	NC_000911.1	17853	20393	-	2541	136
SGL_RS01955	NC_000911.1	20615	21595	-	981	35
SGL_RS01960	NC_000911.1	21838	23121	-	1284	3
SGL_RS01965	NC_000911.1	23139	24104	-	966	14
SGL_RS01970	NC_000911.1	24101	25003	-	903	18
SGL_RS01975	NC_000911.1	25266	27839	-	2574	19
SGL_RS01980	NC_000911.1	27990	29030	-	1041	103
SGL_RS01985	NC_000911.1	29098	29895	-	798	70
SGL_RS01990	NC_000911.1	29968	32454	-	2487	381
SGL_RS01995	NC_000911.1	32524	32928	-	405	101
SGL_RS02000	NC_000911.1	32912	33544	-	633	207
SGL_RS02005	NC_000911.1	33891	35489	+	1599	404
SGL_RS02010	NC_000911.1	35566	36615	+	1050	172
SGL_RS02015	NC_000911.1	36757	38538	+	1782	114
SGL_RS02020	NC_000911.1	38680	39636	+	957	86
SGL_RS02025	NC_000911.1	39817	42363	+	2547	110
SGL_RS02030	NC_000911.1	42567	43397	+	831	3
SGL_RS02035	NC_000911.1	43511	44506	+	996	36
SGL_RS02040	NC_000911.1	44511	44885	+	375	2
SGL_RS02045	NC_000911.1	44948	46789	+	1842	25
SGL_RS02050	NC_000911.1	47007	47942	-	936	35
SGL_RS02055	NC_000911.1	48067	48408	-	342	28
SGL_RS02060	NC_000911.1	48405	48635	-	231	26
SGL_RS02065	NC_000911.1	48663	49868	-	1206	117
SGL_RS02070	NC_000911.1	49893	50231	-	339	78
SGL_RS02075	NC_000911.1	50246	51895	+	1650	41
SGL_RS18635	NC_000911.1	52260	53108	-	849	243
SGL_RS02085	NC_000911.1	53453	54097	-	645	287
SGL_RS02090	NC_000911.1	54533	55657	+	1125	126
SGL_RS02095	NC_000911.1	55669	56550	-	882	130
SGL_RS02100	NC_000911.1	56556	57224	-	669	117
SGL_RS02105	NC_000911.1	57340	58815	-	1476	208
SGL_RS02110	NC_000911.1	59039	59650	-	612	56
SGL_RS02115	NC_000911.1	59749	60423	+	675	385
SGL_RS02120	NC_000911.1	60524	61522	+	999	183
SGL_RS02125	NC_000911.1	61834	63591	+	1758	157
SGL_RS02130	NC_000911.1	63633	64361	+	729	76
SGL_RS02135	NC_000911.1	64393	64914	+	522	63
SGL_RS02140	NC_000911.1	64987	65748	+	762	59
SGL_RS02145	NC_000911.1	65827	67533	-	1707	86
SGL_RS02150	NC_000911.1	67606	68361	+	756	13
SGL_RS02155	NC_000911.1	68400	69059	-	660	5
SGL_RS02160	NC_000911.1	69284	69985	+	702	385
SGL_RS02165	NC_000911.1	70016	70393	-	378	18
SGL_RS02170	NC_000911.1	70420	70935	-	516	61
SGL_RS02175	NC_000911.1	70944	74042	-	3099	264
SGL_RS02180	NC_000911.1	73978	74229	-	252	40
SGL_RS02185	NC_000911.1	74498	74785	+	288	44
SGL_RS02190	NC_000911.1	74995	75804	+	810	49
SGL_RS02195	NC_000911.1	75955	76500	-	546	42
SGL_RS02200	NC_000911.1	76580	77407	-	828	48
SGL_RS02205	NC_000911.1	77494	77826	-	333	211
SGL_RS02210	NC_000911.1	77980	78246	-	267	9
SGL_RS02215	NC_000911.1	78206	78445	-	240	23
SGL_RS02220	NC_000911.1	78467	80800	-	2334	223
SGL_RS02225	NC_000911.1	80938	81690	+	753	126
SGL_RS02230	NC_000911.1	81696	82259	-	564	107
SGL_RS02235	NC_000911.1	82291	83853	-	1563	452
SGL_RS02240	NC_000911.1	84122	84697	+	576	30
SGL_RS02245	NC_000911.1	84776	86107	+	1332	166
SGL_RS02250	NC_000911.1	86159	87418	+	1260	33
SGL_RS02255	NC_000911.1	87536	87910	-	375	34
SGL_RS02260	NC_000911.1	88017	88661	-	645	40
SGL_RS02265	NC_000911.1	88818	90506	-	1689	387
SGL_RS02270	NC_000911.1	90737	91411	+	675	856
SGL_RS02275	NC_000911.1	91517	92482	+	966	428
SGL_RS02280	NC_000911.1	93128	95152	+	2025	371
SGL_RS02285	NC_000911.1	95236	95808	+	573	26
SGL_RS02290	NC_000911.1	95818	96228	-	411	14
SGL_RS02295	NC_000911.1	96325	98481	-	2157	464
SGL_RS02300	NC_000911.1	98609	99199	-	591	26
SGL_RS02305	NC_000911.1	99402	100793	+	1392	193
SGL_RS02310	NC_000911.1	100794	101771	-	978	122
SGL_RS02315	NC_000911.1	101884	102831	-	948	96
SGL_RS02320	NC_000911.1	102930	105110	-	2181	83
SGL_RS02325	NC_000911.1	105151	106464	-	1314	103
SGL_RS18640	NC_000911.1	106905	107208	+	304	6
SGL_RS02330	NC_000911.1	107471	108325	-	855	52
SGL_RS02335	NC_000911.1	108290	109201	+	912	73
SGL_RS02340	NC_000911.1	109222	110313	+	1092	71
SGL_RS02345	NC_000911.1	110392	110724	+	333	119
SGL_RS02350	NC_000911.1	110808	111224	+	417	22
SGL_RS02355	NC_000911.1	111588	112559	+	972	72
SGL_RS02360	NC_000911.1	112860	114188	+	1329	133
SGL_RS02365	NC_000911.1	114319	114624	+	306	141
SGL_RS02370	NC_000911.1	114874	115272	+	399	45
SGL_RS02375	NC_000911.1	115269	116477	+	1209	130
SGL_RS02380	NC_000911.1	116518	117693	-	1176	263
SGL_RS02385	NC_000911.1	117869	118336	+	468	6
SGL_RS02390	NC_000911.1	118333	119532	-	1200	47
SGL_RS02395	NC_000911.1	119570	119962	-	393	31
SGL_RS02400	NC_000911.1	120298	120537	-	240	244
SGL_RS02405	NC_000911.1	120719	121660	+	942	76
SGL_RS02410	NC_000911.1	121706	121963	-	258	0
SGL_RS02415	NC_000911.1	122287	123405	+	1119	46
SGL_RS18645	NC_000911.1	123501	124079	-	579	63
SGL_RS19745	NC_000911.1	123989	124348	-	360	173
SGL_RS02430	NC_000911.1	124452	126443	-	1992	462
